method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,mem_limit,0,7283.8028,9115.8716,9104.4044,1832.0688,1820.6016,25.1526,24.9952,6.3292
ga,BIG,augerat_A_n37_k5,36,time_limit,0,6398.7351,8736.5245,8655.8081,2337.7894,2257.0730,36.5352,35.2737,7.4506
ga,BIG,augerat_A_n45_k6,44,time_limit,0,10877.9549,12073.7663,11961.7239,1195.8115,1083.7690,10.9930,9.9630,9.2666
ga,BIG,augerat_A_n54_k7,53,time_limit,0,14362.7453,13857.0866,13774.2847,-505.6586,-588.4606,-3.5206,-4.0971,11.3074
ga,BIG,augerat_A_n60_k9,59,time_limit,0,15785.5624,17308.0265,17215.2800,1522.4641,1429.7176,9.6447,9.0571,12.9551
ga,BIG,ex1_1v_feasible,2,optimal,1,109.1421,109.1421,109.1421,0.0000,0.0000,0.0000,0.0000,0.8911
ga,BIG,ex3_3v_all_feasible,3,optimal,1,172.0000,172.0000,172.0000,0.0000,0.0000,0.0000,0.0000,1.1872
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,140.7990,140.7990,140.7990,0.0000,0.0000,0.0000,0.0000,1.1527
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,171.5037,171.5037,171.5037,0.0000,0.0000,0.0000,0.0000,0.7302
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,181.5837,181.5837,181.5837,0.0000,0.0000,0.0000,0.0000,0.7334
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7314
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7360
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,106.3719,106.3719,106.3719,0.0000,0.0000,0.0000,0.0000,0.7354
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,496.8566,496.8566,496.8566,0.0000,0.0000,0.0000,0.0000,0.9749
ga,BIG,hfvrp_n002_m03_s02,2,optimal,1,159.7048,159.7048,159.7048,0.0000,0.0000,0.0000,0.0000,0.9406
ga,BIG,hfvrp_n002_m03_s03,2,optimal,1,197.9784,197.9784,197.9784,0.0000,0.0000,0.0000,0.0000,0.9765
ga,BIG,hfvrp_n002_m03_s04,2,optimal,1,192.2748,192.6628,192.6628,0.3880,0.3880,0.2018,0.2018,0.9402
ga,BIG,hfvrp_n002_m03_s05,2,optimal,1,343.5810,460.8280,460.8280,117.2470,117.2470,34.1250,34.1250,0.9394
ga,BIG,hfvrp_n005_m03_s01,5,optimal,1,423.0509,423.0509,423.0509,0.0000,0.0000,0.0000,0.0000,1.4289
ga,BIG,hfvrp_n005_m03_s02,5,optimal,1,446.7364,465.6780,465.6780,18.9416,18.9416,4.2400,4.2400,1.4370
ga,BIG,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,1.4472
ga,BIG,hfvrp_n005_m03_s04,5,optimal,1,422.3155,422.3155,422.3155,0.0000,0.0000,0.0000,0.0000,1.4508
ga,BIG,hfvrp_n005_m03_s05,5,optimal,1,473.1201,495.9466,495.9466,22.8265,22.8265,4.8247,4.8247,1.4433
ga,BIG,hfvrp_n010_m03_s01,10,optimal,1,651.2429,665.3044,665.3044,14.0614,14.0614,2.1592,2.1592,2.2143
ga,BIG,hfvrp_n010_m03_s02,10,optimal,1,737.8500,784.8464,784.8464,46.9963,46.9963,6.3694,6.3694,2.2547
ga,BIG,hfvrp_n010_m03_s03,10,optimal,1,883.8414,885.6306,885.6306,1.7892,1.7892,0.2024,0.2024,2.2280
ga,BIG,hfvrp_n010_m03_s04,10,optimal,1,764.7385,862.3220,862.3220,97.5835,97.5835,12.7604,12.7604,2.1924
ga,BIG,hfvrp_n010_m03_s05,10,optimal,1,801.8825,887.3293,887.3293,85.4468,85.4468,10.6558,10.6558,2.2343
ga,BIG,hfvrp_n015_m03_s01,15,optimal,1,1154.9035,1662.4667,1662.4667,507.5631,507.5631,43.9485,43.9485,2.9520
