method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
exact,ex2_1v_infeasible,2,1,0.500000,42,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,infeasible,0,0,0,0.000409,
exact,ex1_1v_feasible,2,1,0.500000,42,84.142136,50.000000,109.142136,109.142136,78.556349,0.000000,1,1,optimal,0,2,2,0.003591,
exact,ex4_3v_infeasible,4,3,0.500000,42,0.000000,0.000000,0.000000,0.000000,169.094658,1.000000,0,0,infeasible,0,0,0,0.000986,
exact,ex3_3v_all_feasible,3,3,0.500000,42,162.000000,20.000000,172.000000,172.000000,154.363591,0.000000,1,1,optimal,0,0,1,0.000622,
exact,hfvrp_n001_m03_s01,1,3,0.500000,42,87.334995,168.337487,171.503738,171.503738,171.503738,0.000000,1,1,optimal,0,0,1,0.000571,
exact,ex5_3v_one_used_feasible,3,3,0.500000,42,115.798990,50.000000,140.798990,140.798990,95.597980,0.000000,1,1,optimal,0,10,2,0.005615,
exact,hfvrp_n001_m03_s02,1,3,0.500000,42,156.310634,50.546098,181.583683,181.583683,181.583683,0.000000,1,1,optimal,0,0,1,0.000795,
exact,hfvrp_n001_m03_s03,1,3,0.500000,42,130.438737,0.000000,130.438737,130.438737,130.438737,0.000000,1,1,optimal,0,0,1,0.000610,
exact,hfvrp_n001_m03_s04,1,3,0.500000,42,122.386776,0.000000,122.386776,122.386776,122.386776,0.000000,1,1,optimal,0,0,1,0.000708,
exact,hfvrp_n001_m03_s05,1,3,0.500000,42,89.097550,34.548775,106.371937,106.371937,106.371937,0.000000,1,1,optimal,0,0,1,0.000598,
exact,hfvrp_n002_m03_s01,2,3,0.500000,42,262.852855,468.007587,496.856648,496.856648,258.097137,0.000000,1,1,optimal,0,0,3,0.005675,
exact,hfvrp_n002_m03_s02,2,3,0.500000,42,139.033247,41.343143,159.704818,159.704818,130.817821,0.000000,1,1,optimal,0,12,3,0.004885,
exact,hfvrp_n002_m03_s03,2,3,0.500000,42,185.309216,25.338303,197.978368,197.978368,155.417444,0.000000,1,1,optimal,0,0,3,0.004745,
exact,hfvrp_n002_m03_s04,2,3,0.500000,42,174.552021,35.445494,192.274768,192.274768,142.481649,0.000000,1,1,optimal,0,19,3,0.006178,
exact,hfvrp_n002_m03_s05,2,3,0.500000,42,252.004246,183.153460,343.580976,343.580976,216.906774,0.000000,1,1,optimal,0,9,2,0.006138,
exact,hfvrp_n005_m03_s01,5,3,0.500000,42,350.283936,145.533835,423.050854,423.050854,267.549103,0.000000,1,1,optimal,53,286,5,0.020914,
exact,hfvrp_n005_m03_s02,5,3,0.500000,42,358.545666,176.381442,446.736387,446.736387,289.508762,0.000000,1,1,optimal,92,587,6,0.037498,
exact,hfvrp_n005_m03_s03,5,3,0.500000,42,444.734799,0.000000,444.734799,438.931910,325.638053,0.013048,1,1,optimal,0,224,3,0.044424,
exact,hfvrp_n005_m03_s04,5,3,0.500000,42,278.576281,287.478473,422.315518,422.315518,158.921111,0.000000,1,1,optimal,78,648,6,0.048097,
exact,hfvrp_n005_m03_s05,5,3,0.500000,42,384.694704,176.850818,473.120113,473.120113,301.150444,0.000000,1,1,optimal,233,1425,6,0.100952,
exact,hfvrp_n010_m03_s01,10,3,0.500000,42,515.549909,271.386050,651.242934,651.242934,315.594584,0.000000,1,1,optimal,6785,75373,6,6.277673,
