variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,472,12,246,-12.8809,-5.6416
BIG,MEDIUM,730,308,130,292,-1.6775,0.0000
BIG,SMALL,730,512,1,217,-21.7359,-12.3363
DEFAULT,BIG,730,12,472,246,19.6567,5.9790
DEFAULT,MEDIUM,730,21,461,248,17.0062,4.0221
DEFAULT,SMALL,730,476,31,223,-12.0555,-5.5915
MEDIUM,BIG,730,130,308,292,1.9364,0.0000
MEDIUM,DEFAULT,730,461,21,248,-11.5917,-3.8666
MEDIUM,SMALL,730,506,2,222,-20.7386,-11.4383
SMALL,BIG,730,1,512,217,44.2754,14.0724
SMALL,DEFAULT,730,31,476,223,17.1877,5.9227
SMALL,MEDIUM,730,2,506,222,40.6593,12.9157
