variant,runs,instances_covered,cost_mean,cost_std,runtime_mean,runtime_std
BIG,877,74,185998.7243,752146.4964,15.5020,20.9591
DEFAULT,876,73,216526.2322,864491.1138,0.2586,0.3498
MEDIUM,876,73,187228.8005,761622.0738,5.1257,6.9503
SMALL,876,73,244479.0715,961005.9053,0.0359,0.0473
