variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,485,14,231,-13.9573,-5.1729
BIG,MEDIUM,730,323,126,281,-1.8001,0.0000
BIG,SMALL,730,517,1,212,-23.9617,-12.7593
DEFAULT,BIG,730,14,485,231,23.0907,5.4551
DEFAULT,MEDIUM,730,37,456,237,20.0689,3.1817
DEFAULT,SMALL,730,487,20,223,-14.2273,-6.7225
MEDIUM,BIG,730,126,323,281,2.0972,0.0000
MEDIUM,DEFAULT,730,456,37,237,-12.6044,-3.0836
MEDIUM,SMALL,730,513,3,214,-22.9917,-11.5623
SMALL,BIG,730,1,517,212,56.4650,14.6273
SMALL,DEFAULT,730,20,487,223,21.6476,7.2070
SMALL,MEDIUM,730,3,513,214,51.9105,13.0744
