method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,mem_limit,0,7741.7900,9964.7640,9881.1252,2222.9740,2139.3352,28.7140,27.6336,6.3634
ga,BIG,augerat_A_n37_k5,36,time_limit,0,6817.0217,9243.3788,9184.2030,2426.3570,2367.1813,35.5926,34.7246,7.4532
ga,BIG,augerat_A_n45_k6,44,time_limit,0,13225.1083,12618.1552,12497.5048,-606.9532,-727.6035,-4.5894,-5.5017,9.2445
ga,BIG,augerat_A_n54_k7,53,time_limit,0,16168.6712,15246.4221,15114.7217,-922.2490,-1053.9495,-5.7039,-6.5185,11.3818
ga,BIG,augerat_A_n60_k9,59,time_limit,0,16987.2957,18658.2471,18495.5827,1670.9514,1508.2870,9.8365,8.8789,12.9730
ga,BIG,augerat_A_n80_k10,79,time_limit,0,25295.6251,22121.7523,22020.8717,-3173.8728,-3274.7534,-12.5471,-12.9459,17.7737
ga,BIG,ex1_1v_feasible,2,optimal,1,134.1421,134.1421,134.1421,0.0000,0.0000,0.0000,0.0000,0.8937
ga,BIG,ex3_3v_all_feasible,3,optimal,1,182.0000,182.0000,182.0000,0.0000,0.0000,0.0000,0.0000,1.1874
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,165.7990,165.7990,165.7990,0.0000,0.0000,0.0000,0.0000,1.1551
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,255.6725,255.6725,255.6725,0.0000,0.0000,0.0000,0.0000,0.7320
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,206.8567,206.8567,206.8567,0.0000,0.0000,0.0000,0.0000,0.7351
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7288
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7307
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,123.6463,123.6463,123.6463,0.0000,0.0000,0.0000,0.0000,0.7390
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,730.8604,730.8604,730.8604,0.0000,0.0000,0.0000,0.0000,0.9758
ga,BIG,hfvrp_n002_m03_s02,2,optimal,1,180.3764,180.3764,180.3764,0.0000,0.0000,0.0000,0.0000,0.9400
ga,BIG,hfvrp_n002_m03_s03,2,optimal,1,210.6475,210.6475,210.6475,0.0000,0.0000,0.0000,0.0000,0.9740
ga,BIG,hfvrp_n002_m03_s04,2,optimal,1,209.9975,210.3855,210.3855,0.3880,0.3880,0.1848,0.1848,0.9399
ga,BIG,hfvrp_n002_m03_s05,2,optimal,1,435.1577,618.9847,618.9847,183.8270,183.8270,42.2438,42.2438,0.9383
ga,BIG,hfvrp_n005_m03_s01,5,optimal,1,495.8178,495.8178,495.8178,0.0000,0.0000,0.0000,0.0000,1.4313
ga,BIG,hfvrp_n005_m03_s02,5,optimal,1,534.9271,558.3264,558.3264,23.3993,23.3993,4.3743,4.3743,1.4180
ga,BIG,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,1.4446
