method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,167.8002,54.1383,0.0000,0.0000,0.0007,0.0001
exact,2,6,316.8636,208.2086,0.0000,0.0000,0.0054,0.0010
exact,3,2,173.8995,8.1005,0.0000,0.0000,0.0034,0.0027
exact,5,5,520.6160,45.4260,0.0000,0.0000,0.0471,0.0192
exact,10,5,968.1200,112.5310,0.0000,0.0000,39.5042,30.1987
exact,15,5,1659.2142,515.3162,0.0000,0.0000,8800.5640,7626.2711
exact,20,5,1876.1261,288.2340,0.0000,0.0000,15506.8368,4986.3312
exact,30,5,3041.5752,408.2982,0.0000,0.0000,12504.4091,4526.8747
exact,31,1,7741.7900,0.0000,0.0000,0.0000,14220.8050,0.0000
exact,36,1,6817.0217,0.0000,0.0000,0.0000,18000.0183,0.0000
exact,44,1,13225.1083,0.0000,0.0000,0.0000,18000.0212,0.0000
exact,50,5,7270.6033,790.9135,0.0000,0.0000,18000.0311,0.0087
exact,53,1,16168.6712,0.0000,0.0000,0.0000,18000.0257,0.0000
exact,59,1,16987.2957,0.0000,0.0000,0.0000,18000.0199,0.0000
exact,75,4,16045.4981,3448.5431,0.0000,0.0000,18000.0602,0.0017
exact,79,1,25295.6251,0.0000,0.0000,0.0000,18000.0580,0.0000
exact,100,3,35325.3375,4836.7034,0.0000,0.0000,18000.1190,0.0307
ga,1,240,167.8002,54.1383,0.0000,0.0000,0.2487,0.2960
ga,2,288,347.5661,235.1064,7.0714,15.7297,0.3199,0.3814
ga,3,96,173.8995,8.1005,0.0000,0.0000,0.3966,0.4733
ga,5,240,534.0200,56.7752,2.4308,3.2451,0.4863,0.5803
ga,10,240,1079.1692,159.6993,11.3540,10.0473,0.7511,0.8972
ga,15,240,2530.2426,1313.9636,44.1884,29.1534,1.0087,1.2057
ga,20,240,2551.2300,483.1057,35.8145,12.9884,1.3335,1.5987
ga,30,240,3821.5156,595.7261,26.3131,17.1730,2.0299,2.4297
ga,31,48,10037.7165,88.1304,29.6563,1.1384,2.1419,2.5744
ga,36,48,9400.0882,223.0252,37.8914,3.2716,2.5111,3.0154
ga,44,48,12847.5523,303.0911,-2.8548,2.2918,3.1127,3.7396
ga,50,240,10761.8370,2715.5811,48.5995,35.9788,3.5154,4.2141
ga,53,48,15657.4701,558.8646,-3.1617,3.4565,3.8257,4.6041
ga,59,48,19092.6364,548.8113,12.3936,3.2307,4.3580,5.2491
ga,75,240,15910.9113,5690.0705,-3.3592,30.9867,5.7640,6.9310
ga,79,48,22850.1137,870.1531,-9.6677,3.4399,5.9752,7.1924
ga,100,288,724974.4086,1567221.2733,-18.8761,35.9409,8.1537,9.7634
ga,105,48,4283663.8587,470591.8392,,,8.1307,9.7569
ga,109,48,2521772.4960,469916.6931,,,8.5594,10.2718
ga,114,3,2545542.2910,223311.4721,,,13.3412,12.3935
ga,119,48,3553145.8180,323646.2221,,,8.6024,10.2787
ga,150,240,51235.3549,24635.9878,,,14.9909,17.9649
ga,200,240,83596.5716,43350.1705,,,27.1151,32.4568
savings,1,5,167.8002,54.1383,0.0000,0.0000,0.0000,0.0000
savings,2,6,347.5661,235.1064,7.0714,15.7297,0.0000,0.0000
savings,3,2,173.8995,8.1005,0.0000,0.0000,0.0000,0.0000
savings,5,5,584.3272,95.8204,11.6516,10.6008,0.0000,0.0000
savings,10,5,1170.6019,162.5513,21.5415,15.8875,0.0000,0.0000
savings,15,5,2910.7940,1545.1102,64.8419,37.4718,0.0001,0.0000
savings,20,5,3208.7107,688.5597,69.4590,13.8325,0.0002,0.0001
savings,30,5,4359.5647,528.4521,44.4014,16.2186,0.0002,0.0001
savings,31,1,10007.7497,0.0000,29.2692,0.0000,0.0002,0.0000
savings,36,1,9067.4340,0.0000,33.0117,0.0000,0.0002,0.0000
savings,44,1,12414.3291,0.0000,-6.1306,0.0000,0.0002,0.0000
savings,50,5,13947.9203,2199.0866,92.3798,25.9410,0.0016,0.0008
savings,53,1,16144.5133,0.0000,-0.1494,0.0000,0.0006,0.0000
savings,59,1,17642.8292,0.0000,3.8590,0.0000,0.0002,0.0000
savings,75,5,16339.1415,3025.7046,0.0840,4.8483,0.0020,0.0013
savings,79,1,21832.9515,0.0000,-13.6888,0.0000,0.0012,0.0000
savings,100,6,647821.3580,1390904.2447,-24.3940,12.8575,0.0071,0.0045
savings,105,1,4077794.8373,0.0000,,,0.0008,0.0000
savings,109,1,2275647.0288,0.0000,,,0.0009,0.0000
savings,119,1,3275262.7211,0.0000,,,0.0013,0.0000
savings,150,5,49562.0316,5935.9838,,,0.0237,0.0059
savings,200,5,57661.5490,7767.6842,,,0.0376,0.0194
tabu,1,60,167.8002,54.1383,0.0000,0.0000,0.0002,0.0001
tabu,2,72,316.8636,208.2086,0.0000,0.0000,0.0004,0.0003
tabu,3,24,173.8995,8.1005,0.0000,0.0000,0.0001,0.0000
tabu,5,60,522.5205,47.2645,0.3391,0.6783,0.0012,0.0011
tabu,10,60,990.7271,123.9089,2.2466,2.7589,0.0023,0.0025
tabu,15,60,1677.7422,514.0103,1.1665,2.0418,0.0156,0.0073
tabu,20,60,1906.9121,263.3111,1.9069,2.0881,0.0402,0.0159
tabu,30,60,2923.4321,252.8376,-3.3309,4.1428,0.0849,0.0125
tabu,31,12,9957.4413,0.0000,28.6194,0.0000,0.0759,0.0016
tabu,36,12,7823.8465,0.0000,14.7693,0.0000,0.1663,0.0013
tabu,44,12,12276.2190,0.0000,-7.1749,0.0000,0.2062,0.0018
tabu,50,60,6174.0387,613.0698,-14.8272,4.5902,0.4566,0.1091
tabu,53,12,14951.5080,0.0000,-7.5279,0.0000,0.3212,0.0019
tabu,59,12,17562.6933,0.0000,3.3872,0.0000,0.4642,0.0032
tabu,75,60,9324.3837,1156.6914,-42.1236,6.3383,1.5505,0.4196
tabu,79,12,21300.3294,0.0000,-15.7944,0.0000,1.0292,0.0031
tabu,100,72,628621.1859,1373846.6259,-57.7648,4.0515,3.1008,0.4798
tabu,105,12,3775209.2074,0.0000,,,2.5754,0.0874
tabu,109,12,1928110.5166,0.0000,,,3.4410,0.0084
tabu,119,12,3275262.7211,0.0000,,,1.7993,0.0297
tabu,150,60,22793.1683,1007.0062,,,14.5903,3.9395
tabu,200,60,34175.6026,1505.2444,,,41.4098,11.0199
