variant,runs,instances_covered,cost_mean,cost_std,runtime_mean,runtime_std
BIG,877,74,191056.7924,763741.4917,15.6417,21.1838
DEFAULT,877,74,226935.7108,880408.3443,0.2634,0.3586
MEDIUM,877,74,193052.3289,768590.4775,5.1782,7.0299
SMALL,876,73,255150.0694,969517.7830,0.0381,0.0515
