method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,218.4867,113.4698,0.0000,0.0000,0.0007,0.0002
exact,2,6,450.7449,365.0495,0.0000,0.0000,0.0053,0.0011
exact,3,2,208.8995,6.8995,0.0000,0.0000,0.0035,0.0029
exact,5,5,677.8649,135.1479,0.0000,0.0000,0.0448,0.0156
exact,10,5,1358.9903,174.5184,0.0000,0.0000,32.2946,21.0814
exact,15,5,2673.0513,989.4943,0.0000,0.0000,12147.7482,7295.0209
exact,20,5,2832.6212,499.2304,0.0000,0.0000,18000.0038,0.0006
exact,30,5,4328.2809,530.5243,0.0000,0.0000,18000.0080,0.0025
exact,31,1,9749.7887,0.0000,0.0000,0.0000,18000.0151,0.0000
exact,36,1,8594.0220,0.0000,0.0000,0.0000,18000.0143,0.0000
exact,44,1,13458.2811,0.0000,0.0000,0.0000,18000.0192,0.0000
exact,50,5,13758.8581,4042.0000,0.0000,0.0000,18000.0296,0.0109
exact,53,1,18953.6428,0.0000,0.0000,0.0000,18000.0138,0.0000
exact,59,1,20262.1567,0.0000,0.0000,0.0000,18000.0182,0.0000
exact,75,3,26333.1603,3718.3547,0.0000,0.0000,18000.0694,0.0090
exact,79,1,29865.8273,0.0000,0.0000,0.0000,18000.0509,0.0000
exact,100,1,68042.3131,0.0000,0.0000,0.0000,18000.0882,0.0000
exact,105,1,5079314.6302,0.0000,0.0000,0.0000,18000.0984,0.0000
exact,114,1,3097325.5543,0.0000,0.0000,0.0000,18000.0920,0.0000
exact,119,1,4377147.6800,0.0000,0.0000,0.0000,18000.0806,0.0000
ga,1,240,218.4867,113.4698,0.0000,0.0000,0.2495,0.2966
ga,2,288,503.6408,406.0651,8.5708,19.0942,0.3208,0.3817
ga,3,96,208.8995,6.8995,0.0000,0.0000,0.3956,0.4722
ga,5,240,697.9838,145.8638,2.7535,4.0272,0.4867,0.5808
ga,10,240,1565.8450,280.4486,14.8267,12.7676,0.7562,0.9048
ga,15,240,4030.3353,2071.0826,43.5062,26.1606,1.0148,1.2117
ga,20,240,4131.3896,934.5582,45.2541,15.9397,1.3313,1.5932
ga,30,240,5957.9378,1134.3105,37.6596,20.0101,2.0522,2.4585
ga,31,48,11713.6877,230.3142,20.1430,2.3622,2.1400,2.5674
ga,36,48,10451.4864,309.0633,21.6134,3.5963,2.5311,3.0442
ga,44,48,13931.3858,448.8111,3.5153,3.3348,3.1306,3.7691
ga,50,240,18023.6238,5345.2339,37.8739,42.8440,3.5372,4.2430
ga,53,48,18516.0505,732.8461,-2.3088,3.8665,3.8371,4.6078
ga,59,48,21856.8952,747.8898,7.8705,3.6911,4.3751,5.2675
ga,75,240,25258.4977,10270.6136,2.9193,39.7547,5.7795,6.9464
ga,79,48,27084.2285,1356.5568,-9.3137,4.5422,6.0473,7.2772
ga,100,288,745382.2058,1577508.9996,-33.4552,34.4401,8.2365,9.8568
ga,105,48,4327575.8285,505006.7989,-14.8000,9.9424,8.1178,9.7412
ga,109,48,2603943.5751,496048.8472,,,8.4574,10.1585
ga,114,2,2437052.2315,58513.0547,-21.3175,1.8891,9.5979,0.0972
ga,119,48,3659134.6154,368654.3463,-16.4037,8.4223,8.6544,10.3675
ga,150,240,81880.9036,48108.9206,,,15.1610,18.1257
ga,200,240,127865.8180,78394.5301,,,27.4490,32.8789
savings,1,5,218.4867,113.4698,0.0000,0.0000,0.0000,0.0000
savings,2,6,503.6408,406.0651,8.5708,19.0942,0.0000,0.0000
savings,3,2,208.8995,6.8995,0.0000,0.0000,0.0000,0.0000
