method_a,method_b,n_instances,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct,mean_runtime_ratio_a_over_b
savings,tabu,73,0,60,13,69.3176,62.0187,0.0380
savings,ga,73,4,54,15,40.2668,24.7457,0.0004
tabu,savings,73,60,0,13,-31.5236,-38.2787,609.4637
tabu,ga,73,56,3,14,-13.4242,-13.8781,0.1412
ga,savings,73,54,4,15,-22.7041,-19.8369,12406.0782
ga,tabu,73,3,56,14,17.9279,16.1145,209.7116
