method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,-0.0000,0.0000,186730.1142
tabu,2,73,0.0000,0.0000,186730.1142
tabu,3,73,-0.0000,0.0000,186730.1142
tabu,4,73,-0.0000,0.0000,186730.1142
tabu,5,73,-0.0000,0.0000,186730.1142
tabu,6,73,0.0000,0.0000,186730.1142
tabu,7,73,-0.0000,0.0000,186730.1142
tabu,8,73,-0.0000,0.0000,186730.1142
tabu,9,73,-0.0000,0.0000,186730.1142
tabu,10,73,-0.0000,0.0000,186730.1142
tabu,11,73,0.0000,0.0000,186730.1142
tabu,12,73,0.0000,0.0000,186730.1142
ga,1,74,29.8560,8.3745,256150.6347
ga,2,74,12.7714,3.1658,236068.2124
ga,3,73,7.1687,1.8789,199477.4286
ga,4,73,4.7622,1.3754,196180.9450
ga,5,73,3.5854,1.1239,194458.6340
ga,6,73,2.9285,0.9741,193453.3477
ga,7,73,2.5174,0.8881,192806.4554
ga,8,73,2.2328,0.8191,192352.5417
ga,9,73,2.0188,0.7613,192010.0475
ga,10,73,1.8473,0.7115,191736.5845
ga,11,73,1.7036,0.6676,191508.9606
ga,12,73,1.5794,0.6284,191313.7513
ga,13,73,1.4697,0.5927,191142.6978
ga,14,73,1.3714,0.5600,190990.4002
ga,15,73,1.2823,0.5296,190853.1275
ga,16,73,1.2009,0.5012,190728.1799
ga,17,73,1.1259,0.4744,190613.5305
ga,18,73,1.0565,0.4491,190507.6135
ga,19,73,0.9919,0.4250,190409.1915
ga,20,73,0.9314,0.4021,190317.2687
ga,21,73,0.8747,0.3802,190231.0312
ga,22,73,0.8213,0.3592,190149.8056
ga,23,73,0.7708,0.3310,190073.0285
ga,24,73,0.7229,0.3039,190000.2239
ga,25,73,0.6775,0.2839,189930.9868
ga,26,73,0.6342,0.2547,189864.9700
ga,27,73,0.5929,0.2324,189801.8740
ga,28,73,0.5535,0.2115,189741.4393
ga,29,73,0.5157,0.1919,189683.4401
ga,30,73,0.4794,0.1736,189627.6786
ga,31,73,0.4446,0.1563,189573.9816
ga,32,73,0.4110,0.1402,189522.1967
ga,33,73,0.3787,0.1279,189472.1892
ga,34,73,0.3476,0.1184,189423.8402
ga,35,73,0.3175,0.1092,189377.0441
ga,36,73,0.2884,0.0993,189331.7071
ga,37,73,0.2602,0.0871,189287.7458
ga,38,73,0.2329,0.0763,189245.0858
ga,39,73,0.2065,0.0685,189203.6605
ga,40,73,0.1809,0.0608,189163.4103
ga,41,73,0.1560,0.0504,189124.2817
ga,42,73,0.1318,0.0375,189086.2262
ga,43,73,0.1083,0.0274,189049.2003
ga,44,73,0.0854,0.0202,189013.1642
ga,45,73,0.0632,0.0147,188978.0815
ga,46,73,0.0416,0.0096,188943.9186
ga,47,73,0.0205,0.0046,188910.6444
ga,48,73,0.0000,0.0000,188878.2295
