method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,SMALL,hfvrp_n002_m03_s04,2,optimal,1,245.4430,245.8310,245.8310,0.3880,0.3880,0.1581,0.1581,0.0025
ga,SMALL,hfvrp_n002_m03_s05,2,optimal,1,618.3112,935.2981,935.2981,316.9869,316.9869,51.2666,51.2666,0.0021
ga,SMALL,hfvrp_n005_m03_s01,5,optimal,1,641.3516,641.3516,641.3516,0.0000,0.0000,0.0000,0.0000,0.0056
ga,SMALL,hfvrp_n005_m03_s02,5,optimal,1,711.3085,749.8795,734.7078,38.5709,23.3993,5.4225,3.2896,0.0036
ga,SMALL,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,0.0046
ga,SMALL,hfvrp_n005_m03_s04,5,optimal,1,853.5332,853.5332,853.5332,0.0000,0.0000,0.0000,0.0000,0.0045
ga,SMALL,hfvrp_n005_m03_s05,5,optimal,1,738.3963,818.7921,805.0108,80.3958,66.6145,10.8879,9.0215,0.0047
ga,SMALL,hfvrp_n010_m03_s01,10,optimal,1,1058.3220,1083.8779,1078.7372,25.5558,20.4152,2.4148,1.9290,0.0051
ga,SMALL,hfvrp_n010_m03_s02,10,optimal,1,1364.9394,1448.0067,1395.3680,83.0673,30.4286,6.0858,2.2293,0.0054
ga,SMALL,hfvrp_n010_m03_s03,10,optimal,1,1601.3166,1738.4775,1731.0928,137.1609,129.7762,8.5655,8.1043,0.0054
ga,SMALL,hfvrp_n010_m03_s04,10,optimal,1,1355.5895,1835.9142,1808.9757,480.3248,453.3863,35.4329,33.4457,0.0064
ga,SMALL,hfvrp_n010_m03_s05,10,optimal,1,1414.7841,1832.1961,1741.7331,417.4120,326.9490,29.5036,23.1095,0.0059
ga,SMALL,hfvrp_n015_m03_s01,15,optimal,1,2704.7017,4892.9982,4722.4235,2188.2965,2017.7219,80.9071,74.6005,0.0070
ga,SMALL,hfvrp_n015_m03_s02,15,time_limit,0,2578.2562,3546.6601,3539.1967,968.4039,960.9405,37.5604,37.2709,0.0076
ga,SMALL,hfvrp_n015_m03_s03,15,time_limit,0,1579.2508,1858.6547,1815.3487,279.4039,236.0979,17.6922,14.9500,0.0070
ga,SMALL,hfvrp_n015_m03_s04,15,time_limit,0,4480.3132,7743.6503,7533.9208,3263.3371,3053.6075,72.8373,68.1561,0.0068
ga,SMALL,hfvrp_n015_m03_s05,15,optimal,1,2022.7347,2415.4976,2349.0409,392.7629,326.3062,19.4174,16.1319,0.0080
ga,SMALL,hfvrp_n020_m04_s01,20,time_limit,0,2101.2270,3337.5084,2968.4410,1236.2814,867.2140,58.8362,41.2718,0.0094
ga,SMALL,hfvrp_n020_m04_s02,20,time_limit,0,2396.2743,3441.9309,3025.4470,1045.6566,629.1727,43.6368,26.2563,0.0092
ga,SMALL,hfvrp_n020_m04_s03,20,time_limit,0,3400.3544,5531.4968,4575.2227,2131.1424,1174.8682,62.6741,34.5513,0.0101
ga,SMALL,hfvrp_n020_m04_s04,20,time_limit,0,3228.7835,5258.9653,4759.5605,2030.1818,1530.7770,62.8776,47.4103,0.0093
ga,SMALL,hfvrp_n020_m04_s05,20,time_limit,0,3036.4669,5389.1988,4878.3078,2352.7319,1841.8408,77.4825,60.6574,0.0088
ga,SMALL,hfvrp_n030_m06_s01,30,time_limit,0,5236.8733,8543.7093,7220.5752,3306.8359,1983.7019,63.1452,37.8795,0.0134
ga,SMALL,hfvrp_n030_m06_s02,30,time_limit,0,4531.7502,7698.3189,6589.7536,3166.5687,2058.0034,69.8752,45.4130,0.0141
ga,SMALL,hfvrp_n030_m06_s03,30,time_limit,0,3760.8985,6071.6436,5520.9492,2310.7451,1760.0507,61.4413,46.7987,0.0138
ga,SMALL,hfvrp_n030_m06_s04,30,time_limit,0,4243.1308,5851.6117,5162.5436,1608.4809,919.4128,37.9079,21.6683,0.0142
ga,SMALL,hfvrp_n030_m06_s05,30,time_limit,0,3868.7517,6967.0985,5992.0875,3098.3468,2123.3358,80.0865,54.8843,0.0143
ga,SMALL,hfvrp_n050_m10_s01,50,time_limit,0,9133.6323,20921.3697,16935.9818,11787.7373,7802.3494,129.0586,85.4244,0.0254
ga,SMALL,hfvrp_n050_m10_s02,50,time_limit,0,19283.4970,32681.3626,26164.2295,13397.8657,6880.7326,69.4784,35.6820,0.0248
ga,SMALL,hfvrp_n050_m10_s03,50,time_limit,0,12736.7572,27085.8452,20570.8427,14349.0881,7834.0855,112.6589,61.5077,0.0242
ga,SMALL,hfvrp_n050_m10_s04,50,time_limit,0,10030.5940,20901.2444,18110.2685,10870.6504,8079.6745,108.3749,80.5503,0.0263
ga,SMALL,hfvrp_n050_m10_s05,50,time_limit,0,17609.8099,23311.0453,19536.4877,5701.2354,1926.6778,32.3753,10.9409,0.0247
ga,SMALL,hfvrp_n075_m15_s03,75,time_limit,0,31581.8479,48033.5396,39175.7698,16451.6916,7593.9219,52.0922,24.0452,0.0393
ga,SMALL,hfvrp_n075_m15_s04,75,time_limit,0,23430.0657,45095.8852,36209.5927,21665.8195,12779.5270,92.4702,54.5433,0.0408
ga,SMALL,hfvrp_n075_m15_s05,75,time_limit,0,23987.5675,35479.0705,28315.9109,11491.5030,4328.3435,47.9061,18.0441,0.0393
ga,SMALL,hfvrp_n100_m20_s05,100,time_limit,0,68042.3131,83085.8170,68222.7183,15043.5039,180.4053,22.1090,0.2651,0.0679
ga,SMALL,pyvrp_X106_FSMD,105,time_limit,0,5079314.6302,5066611.4577,4723720.0385,-12703.1726,-355594.5917,-0.2501,-7.0008,0.0522
ga,SMALL,pyvrp_X120_FSMF,119,time_limit,0,4377147.6800,4204311.2470,3803471.6757,-172836.4330,-573676.0043,-3.9486,-13.1062,0.0564
savings,,augerat_A_n32_k5,31,time_limit,0,9749.7887,11760.5492,11760.5492,2010.7605,2010.7605,20.6236,20.6236,0.0002
savings,,augerat_A_n37_k5,36,time_limit,0,8594.0220,9961.1344,9961.1344,1367.1124,1367.1124,15.9077,15.9077,0.0003
savings,,augerat_A_n45_k6,44,time_limit,0,13458.2811,13408.2606,13408.2606,-50.0205,-50.0205,-0.3717,-0.3717,0.0002
