variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,475,14,241,-14.5313,-4.6153
BIG,MEDIUM,730,333,120,277,-1.7661,0.0000
BIG,SMALL,730,509,0,221,-25.6629,-11.6023
DEFAULT,BIG,730,14,475,241,25.3793,4.8386
DEFAULT,MEDIUM,730,25,467,238,22.1901,4.2046
DEFAULT,SMALL,730,472,25,233,-16.4250,-6.9854
MEDIUM,BIG,730,120,333,277,2.0833,0.0000
MEDIUM,DEFAULT,730,467,25,238,-13.2717,-4.0349
MEDIUM,SMALL,730,508,3,219,-24.8251,-11.1476
SMALL,BIG,730,0,509,221,71.0091,13.1254
SMALL,DEFAULT,730,25,472,233,27.8806,7.5101
SMALL,MEDIUM,730,3,508,219,65.5605,12.5462
