variant,runs,instances_covered,cost_mean,cost_std,runtime_mean,runtime_std
BIG,876,73,195004.1376,768271.2878,15.7625,21.4484
DEFAULT,876,73,232728.1244,879314.4863,0.2668,0.3645
MEDIUM,878,74,203098.7301,783859.5402,5.2305,7.1075
SMALL,876,73,279370.4399,999437.1626,0.0385,0.0527
