method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,117.1644,26.0977,0.0000,0.0000,0.0008,0.0002
exact,2,6,183.1162,61.9232,0.0000,0.0000,0.0069,0.0019
exact,3,2,134.8693,27.1507,0.0000,0.0000,0.0047,0.0039
exact,5,5,359.1506,52.6530,0.0000,0.0000,0.0821,0.0572
exact,10,5,505.2105,18.6544,0.0000,0.0000,0.7750,0.3719
exact,15,5,550.1140,42.7652,0.0000,0.0000,12.3969,12.6265
exact,20,5,667.4695,13.2938,0.0000,0.0000,41.2294,36.7794
exact,30,5,1134.4032,59.0767,0.0000,0.0000,14673.4804,5316.6914
exact,31,1,5943.1043,0.0000,0.0000,0.0000,18000.0135,0.0000
exact,36,1,5980.9397,0.0000,0.0000,0.0000,11269.9033,0.0000
exact,44,1,10292.1342,0.0000,0.0000,0.0000,18000.0088,0.0000
exact,50,5,1916.3122,88.6072,0.0000,0.0000,18000.0254,0.0108
exact,53,1,12617.2356,0.0000,0.0000,0.0000,18000.0180,0.0000
exact,59,1,14281.4239,0.0000,0.0000,0.0000,18000.0210,0.0000
exact,75,5,4219.1627,415.7352,0.0000,0.0000,18000.0940,0.0341
exact,100,2,5850.4224,14.5937,0.0000,0.0000,18000.2273,0.0635
exact,109,1,3074086.6457,0.0000,0.0000,0.0000,18000.0482,0.0000
exact,119,1,3964628.8890,0.0000,0.0000,0.0000,18000.1824,0.0000
ga,1,240,117.1644,26.0977,0.0000,0.0000,0.2479,0.2954
ga,2,288,191.6475,73.2144,3.3943,7.4910,0.3197,0.3815
ga,3,96,134.8693,27.1507,0.0000,0.0000,0.3971,0.4747
ga,5,240,359.4434,52.6459,0.0820,0.1600,0.4898,0.5866
ga,10,240,532.4744,18.5875,5.5790,6.1865,0.7503,0.8984
ga,15,240,571.2755,38.2159,3.9640,2.7802,1.0024,1.1985
ga,20,240,701.5191,37.5041,5.0804,4.7214,1.3356,1.5996
ga,30,240,1281.4559,92.2451,13.0568,7.2719,1.9995,2.3984
ga,31,48,8305.6190,62.0433,39.7522,1.0440,2.1187,2.5397
ga,36,48,8204.9453,67.1387,37.1849,1.1225,2.4745,2.9719
ga,44,48,11540.2753,117.1097,12.1271,1.1379,3.0814,3.6961
ga,50,240,2284.8737,231.8017,19.3551,12.0559,3.4682,4.1691
ga,53,48,12611.6090,191.3000,-0.0446,1.5162,3.7926,4.5611
ga,59,48,16045.7522,175.1263,12.3540,1.2263,4.3201,5.2015
ga,75,240,4728.1455,922.4717,13.4059,26.1137,5.6134,6.7537
ga,79,48,18176.4298,245.3358,,,5.9493,7.1557
ga,100,288,702374.5568,1562460.6455,23.1649,24.5327,7.9012,9.5057
ga,105,48,4194022.2114,458130.8356,,,8.1328,9.7571
ga,109,48,2476983.4278,449981.9921,-19.4238,14.6379,8.4588,10.1437
ga,114,3,2356600.2414,38249.5317,,,28.6524,0.4505
ga,119,48,3402432.2674,305310.2756,-14.1803,7.7009,8.4739,10.1306
ga,150,240,14676.7902,3445.6337,,,14.1512,17.0159
ga,200,240,26752.9444,6949.0038,,,26.6594,32.0055
savings,1,5,117.1644,26.0977,0.0000,0.0000,0.0000,0.0000
savings,2,6,191.6475,73.2144,3.3943,7.4910,0.0000,0.0000
savings,3,2,134.8693,27.1507,0.0000,0.0000,0.0000,0.0000
savings,5,5,373.3934,50.2657,4.2729,4.1150,0.0000,0.0000
savings,10,5,528.8000,24.7773,4.7095,4.3069,0.0000,0.0000
savings,15,5,570.3014,36.5473,3.7960,2.4620,0.0000,0.0000
savings,20,5,726.0068,51.3415,8.7362,6.8226,0.0001,0.0000
savings,30,5,1256.4841,114.1272,10.6096,5.8630,0.0002,0.0000
savings,31,1,8225.6079,0.0000,38.4059,0.0000,0.0001,0.0000
savings,36,1,8060.6828,0.0000,34.7728,0.0000,0.0001,0.0000
savings,44,1,11335.9021,0.0000,10.1414,0.0000,0.0004,0.0000
savings,50,5,2159.0293,119.6205,12.7045,4.6300,0.0007,0.0004
savings,53,1,13243.4388,0.0000,4.9631,0.0000,0.0002,0.0000
savings,59,1,15056.7879,0.0000,5.4292,0.0000,0.0003,0.0000
savings,75,5,3740.0557,216.2910,-10.7481,7.7803,0.0010,0.0006
savings,79,1,17038.0316,0.0000,,,0.0010,0.0000
savings,100,6,624956.8165,1385509.2965,-7.7115,0.0907,0.0022,0.0012
savings,105,1,4015251.7453,0.0000,,,0.0019,0.0000
savings,109,1,2236551.4065,0.0000,-27.2450,0.0000,0.0009,0.0000
savings,119,1,3185194.8820,0.0000,-19.6597,0.0000,0.0013,0.0000
savings,150,5,9329.5170,220.1885,,,0.0137,0.0046
savings,200,5,15317.1037,595.7315,,,0.0179,0.0025
tabu,1,60,117.1644,26.0977,0.0000,0.0000,0.0002,0.0001
tabu,2,72,183.1162,61.9232,0.0000,0.0000,0.0004,0.0003
tabu,3,24,134.8693,27.1507,0.0000,0.0000,0.0001,0.0000
tabu,5,60,359.4382,52.6538,0.0802,0.1604,0.0013,0.0009
tabu,10,60,505.2105,18.6544,0.0000,0.0000,0.0052,0.0015
tabu,15,60,567.8185,35.8475,3.3475,2.2613,0.0078,0.0019
tabu,20,60,691.7903,34.8831,3.6013,3.6831,0.0154,0.0019
tabu,30,60,1197.9254,75.3772,5.5923,3.7461,0.0612,0.0080
tabu,31,12,8218.1319,0.0000,38.2801,0.0000,0.0752,0.0016
tabu,36,12,8025.6799,0.0000,34.1876,0.0000,0.1765,0.0022
tabu,44,12,11263.9596,0.0000,9.4424,0.0000,0.2080,0.0014
tabu,50,60,2061.9203,82.1696,7.6784,3.3777,0.2289,0.0363
tabu,53,12,12296.8832,0.0000,-2.5390,0.0000,0.3202,0.0056
tabu,59,12,14987.8350,0.0000,4.9464,0.0000,0.4639,0.0020
tabu,75,60,3613.1975,163.9732,-13.6715,8.0255,0.9791,0.0836
tabu,79,12,17022.3295,0.0000,,,0.9868,0.0037
tabu,100,72,615515.4607,1364914.9877,-12.0927,0.4361,2.3077,0.6045
tabu,105,12,3714997.6721,0.0000,,,2.5433,0.0054
tabu,109,12,1896871.0092,0.0000,-38.2948,0.0000,2.5442,0.0390
tabu,119,12,3185194.8820,0.0000,-19.6597,0.0000,1.7792,0.0345
tabu,150,60,9068.0034,296.3642,,,6.4250,0.7453
tabu,200,60,14939.0730,591.8137,,,19.8802,1.6023
