variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,444,11,275,-9.5952,-1.8421
BIG,MEDIUM,730,304,126,300,-1.2253,0.0000
BIG,SMALL,730,476,4,250,-14.7662,-6.6407
DEFAULT,BIG,730,11,444,275,13.0653,1.8767
DEFAULT,MEDIUM,730,20,426,284,11.3668,1.3569
DEFAULT,SMALL,730,438,27,265,-6.4861,-1.9433
MEDIUM,BIG,730,126,304,300,1.4070,0.0000
MEDIUM,DEFAULT,730,426,20,284,-8.5526,-1.3387
MEDIUM,SMALL,730,465,4,261,-13.8535,-4.2715
SMALL,BIG,730,4,476,250,23.1887,7.1130
SMALL,DEFAULT,730,27,438,265,7.8911,1.9818
SMALL,MEDIUM,730,4,465,261,21.1996,4.4621
