variant,runs,instances_covered,cost_mean,cost_std,runtime_mean,runtime_std
BIG,879,74,185931.1974,752613.8169,15.3131,20.6906
DEFAULT,876,73,208402.1952,856504.4803,0.2506,0.3407
MEDIUM,876,73,181420.1728,752470.0106,5.0245,6.8229
SMALL,876,73,232996.3935,955360.7529,0.0334,0.0445
