method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
ga,ex2_1v_infeasible,2,1,0.001000,1788179038485779546,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.298320,MEDIUM
ga,ex5_3v_one_used_feasible,3,3,0.001000,1788179017023517011,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.380024,MEDIUM
ga,ex3_3v_all_feasible,3,3,0.001000,1788179008437293567,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.391384,MEDIUM
ga,ex4_3v_infeasible,4,3,0.001000,1788179004138839593,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.438834,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,1788179373755024741,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.730390,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,1,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.012459,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,1,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.004039,SMALL
ga,ex1_1v_feasible,2,1,0.001000,1788179378092818438,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.888912,BIG
ga,ex2_1v_infeasible,2,1,0.001000,1788179365205578528,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.896480,BIG
ga,ex2_1v_infeasible,2,1,0.001000,1,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.015106,DEFAULT
ga,ex1_1v_feasible,2,1,0.001000,1,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.015140,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,1,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.001649,SMALL
ga,ex1_1v_feasible,2,1,0.001000,1,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.001629,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,1,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.250210,MEDIUM
ga,ex2_1v_infeasible,2,1,0.001000,1,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.299088,MEDIUM
ga,ex1_1v_feasible,2,1,0.001000,1,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.296577,MEDIUM
ga,ex5_3v_one_used_feasible,3,3,0.001000,1788179369594668952,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,1.152089,BIG
ga,ex5_3v_one_used_feasible,3,3,0.001000,1,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.019797,DEFAULT
ga,ex5_3v_one_used_feasible,3,3,0.001000,1,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.002077,SMALL
ga,ex3_3v_all_feasible,3,3,0.001000,1788179391084661365,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,1.183203,BIG
ga,ex3_3v_all_feasible,3,3,0.001000,1,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.019677,DEFAULT
ga,ex3_3v_all_feasible,3,3,0.001000,1,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.003915,SMALL
ga,ex4_3v_infeasible,4,3,0.001000,1788179395423036921,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,1.333471,BIG
ga,ex4_3v_infeasible,4,3,0.001000,1,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.023447,DEFAULT
ga,ex4_3v_infeasible,4,3,0.001000,1,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.002249,SMALL
ga,ex5_3v_one_used_feasible,3,3,0.001000,1,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.385459,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,1,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.727447,BIG
ga,ex3_3v_all_feasible,3,3,0.001000,1,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.389957,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,10,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.013663,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,10,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.001280,SMALL
ga,ex4_3v_infeasible,4,3,0.001000,1,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.436696,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,10,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.243026,MEDIUM
ga,ex1_1v_feasible,2,1,0.001000,1,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.890355,BIG
ga,ex2_1v_infeasible,2,1,0.001000,1,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.901219,BIG
ga,ex1_1v_feasible,2,1,0.001000,10,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.015078,DEFAULT
ga,ex1_1v_feasible,2,1,0.001000,10,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.001567,SMALL
ga,ex2_1v_infeasible,2,1,0.001000,10,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.016817,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,10,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.002037,SMALL
ga,ex1_1v_feasible,2,1,0.001000,10,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.295030,MEDIUM
ga,ex2_1v_infeasible,2,1,0.001000,10,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.309328,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,10,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.731397,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,50,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.012332,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,50,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.003025,SMALL
ga,ex5_3v_one_used_feasible,3,3,0.001000,1,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,1.162528,BIG
ga,ex5_3v_one_used_feasible,3,3,0.001000,10,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.023248,DEFAULT
ga,ex5_3v_one_used_feasible,3,3,0.001000,10,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.004987,SMALL
ga,ex3_3v_all_feasible,3,3,0.001000,1,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,1.175095,BIG
ga,ex3_3v_all_feasible,3,3,0.001000,10,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.019879,DEFAULT
ga,ex3_3v_all_feasible,3,3,0.001000,10,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.003295,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,50,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.249720,MEDIUM
ga,ex5_3v_one_used_feasible,3,3,0.001000,10,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.382293,MEDIUM
ga,ex3_3v_all_feasible,3,3,0.001000,10,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.391406,MEDIUM
ga,ex1_1v_feasible,2,1,0.001000,10,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.893325,BIG
ga,ex4_3v_infeasible,4,3,0.001000,1,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,1.400962,BIG
ga,ex1_1v_feasible,2,1,0.001000,50,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.016437,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,10,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.904252,BIG
ga,ex1_1v_feasible,2,1,0.001000,50,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.001631,SMALL
ga,ex4_3v_infeasible,4,3,0.001000,10,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.023918,DEFAULT
ga,ex4_3v_infeasible,4,3,0.001000,10,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.002427,SMALL
ga,ex2_1v_infeasible,2,1,0.001000,50,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.017701,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,50,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.001642,SMALL
ga,ex1_1v_feasible,2,1,0.001000,50,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.294509,MEDIUM
ga,ex2_1v_infeasible,2,1,0.001000,50,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.297303,MEDIUM
