method,instance,runs,cost_mean,cost_std,runtime_mean
exact,augerat_A_n32_k5,1,5943.1043,0,18000.0135
exact,augerat_A_n37_k5,1,5980.9397,0,11269.9033
exact,augerat_A_n45_k6,1,10292.1342,0,18000.0088
exact,augerat_A_n54_k7,1,12617.2356,0,18000.0180
exact,augerat_A_n60_k9,1,14281.4239,0,18000.0210
exact,ex1_1v_feasible,1,84.1921,0,0.0055
exact,ex3_3v_all_feasible,1,162.0200,0,0.0008
exact,ex5_3v_one_used_feasible,1,107.7187,0,0.0087
exact,hfvrp_n001_m03_s01,1,87.5033,0,0.0009
exact,hfvrp_n001_m03_s02,1,156.3612,0,0.0006
exact,hfvrp_n001_m03_s03,1,130.4387,0,0.0012
exact,hfvrp_n001_m03_s04,1,122.3868,0,0.0006
exact,hfvrp_n001_m03_s05,1,89.1321,0,0.0006
exact,hfvrp_n002_m03_s01,1,263.3209,0,0.0048
exact,hfvrp_n002_m03_s02,1,139.0746,0,0.0067
exact,hfvrp_n002_m03_s03,1,185.3346,0,0.0064
exact,hfvrp_n002_m03_s04,1,174.5875,0,0.0109
exact,hfvrp_n002_m03_s05,1,252.1874,0,0.0068
exact,hfvrp_n005_m03_s01,1,350.4295,0,0.0828
exact,hfvrp_n005_m03_s02,1,358.7220,0,0.0438
exact,hfvrp_n005_m03_s03,1,444.7348,0,0.0575
exact,hfvrp_n005_m03_s04,1,278.8638,0,0.0345
exact,hfvrp_n005_m03_s05,1,363.0027,0,0.1919
exact,hfvrp_n010_m03_s01,1,506.0305,0,1.0006
exact,hfvrp_n010_m03_s02,1,489.2060,0,0.4435
exact,hfvrp_n010_m03_s03,1,535.4904,0,0.8266
exact,hfvrp_n010_m03_s04,1,512.7013,0,1.3151
exact,hfvrp_n010_m03_s05,1,482.6244,0,0.2889
exact,hfvrp_n015_m03_s01,1,553.6347,0,10.1170
exact,hfvrp_n015_m03_s02,1,529.4852,0,1.8551
exact,hfvrp_n015_m03_s03,1,487.9861,0,37.0299
exact,hfvrp_n015_m03_s04,1,618.9494,0,7.9544
exact,hfvrp_n015_m03_s05,1,560.5144,0,5.0280
exact,hfvrp_n020_m04_s01,1,674.9256,0,108.9071
exact,hfvrp_n020_m04_s02,1,653.7222,0,25.7900
exact,hfvrp_n020_m04_s03,1,659.1587,0,46.7274
exact,hfvrp_n020_m04_s04,1,689.9915,0,23.4971
exact,hfvrp_n020_m04_s05,1,659.5494,0,1.2256
exact,hfvrp_n030_m06_s01,1,1193.0776,0,18000.0088
exact,hfvrp_n030_m06_s02,1,1028.4385,0,15084.7258
exact,hfvrp_n030_m06_s03,1,1182.7675,0,18000.0033
exact,hfvrp_n030_m06_s04,1,1119.0438,0,4282.6434
exact,hfvrp_n030_m06_s05,1,1148.6884,0,18000.0209
exact,hfvrp_n050_m10_s01,1,2072.0326,0,18000.0253
exact,hfvrp_n050_m10_s02,1,1928.6474,0,18000.0434
exact,hfvrp_n050_m10_s03,1,1818.4415,0,18000.0152
exact,hfvrp_n050_m10_s04,1,1843.7127,0,18000.0293
exact,hfvrp_n050_m10_s05,1,1918.7271,0,18000.0137
exact,hfvrp_n075_m15_s01,1,4312.7143,0,18000.0521
exact,hfvrp_n075_m15_s02,1,4275.5747,0,18000.1276
