method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,time_limit,0,5943.1043,8243.6967,8234.6741,2300.5924,2291.5697,38.7103,38.5585,6.2772
ga,BIG,augerat_A_n37_k5,36,mem_limit,0,5980.9397,8154.6572,8128.3214,2173.7176,2147.3817,36.3441,35.9038,7.3461
ga,BIG,augerat_A_n45_k6,44,time_limit,0,10292.1342,11447.3474,11383.7946,1155.2132,1091.6604,11.2242,10.6067,9.1362
ga,BIG,augerat_A_n54_k7,53,time_limit,0,12617.2356,12443.4025,12402.5629,-173.8331,-214.6727,-1.3777,-1.7014,11.2718
ga,BIG,augerat_A_n60_k9,59,time_limit,0,14281.4239,15875.3507,15809.5700,1593.9268,1528.1461,11.1608,10.7002,12.8560
ga,BIG,ex1_1v_feasible,2,optimal,1,84.1921,84.1921,84.1921,0.0000,0.0000,0.0000,0.0000,0.8891
ga,BIG,ex3_3v_all_feasible,3,optimal,1,162.0200,162.0200,162.0200,0.0000,0.0000,0.0000,0.0000,1.1924
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,107.7187,107.7187,107.7187,0.0000,0.0000,0.0000,0.0000,1.1567
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,87.5033,87.5033,87.5033,0.0000,0.0000,0.0000,0.0000,0.7329
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,156.3612,156.3612,156.3612,0.0000,0.0000,0.0000,0.0000,0.7318
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7323
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7293
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,89.1321,89.1321,89.1321,0.0000,0.0000,0.0000,0.0000,0.7305
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,263.3209,263.3209,263.3209,0.0000,0.0000,0.0000,0.0000,0.9734
ga,BIG,hfvrp_n002_m03_s02,2,optimal,1,139.0746,139.0746,139.0746,0.0000,0.0000,0.0000,0.0000,0.9454
ga,BIG,hfvrp_n002_m03_s03,2,optimal,1,185.3346,185.3346,185.3346,0.0000,0.0000,0.0000,0.0000,0.9738
ga,BIG,hfvrp_n002_m03_s04,2,optimal,1,174.5875,174.9755,174.9755,0.3880,0.3880,0.2223,0.2223,0.9390
ga,BIG,hfvrp_n002_m03_s05,2,optimal,1,252.1874,302.9876,302.9876,50.8002,50.8002,20.1438,20.1438,0.9409
ga,BIG,hfvrp_n005_m03_s01,5,optimal,1,350.4295,350.4295,350.4295,0.0000,0.0000,0.0000,0.0000,1.4295
ga,BIG,hfvrp_n005_m03_s02,5,optimal,1,358.7220,360.1603,360.1603,1.4383,1.4383,0.4010,0.4010,1.4563
ga,BIG,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,1.4641
ga,BIG,hfvrp_n005_m03_s04,5,optimal,1,278.8638,278.8638,278.8638,0.0000,0.0000,0.0000,0.0000,1.4579
ga,BIG,hfvrp_n005_m03_s05,5,optimal,1,363.0027,363.0027,363.0027,0.0000,0.0000,0.0000,0.0000,1.4482
ga,BIG,hfvrp_n010_m03_s01,10,optimal,1,506.0305,523.3226,523.3226,17.2922,17.2922,3.4172,3.4172,2.2023
ga,BIG,hfvrp_n010_m03_s02,10,optimal,1,489.2060,526.8846,525.7700,37.6787,36.5640,7.7020,7.4741,2.2238
ga,BIG,hfvrp_n010_m03_s03,10,optimal,1,535.4904,537.0858,537.0858,1.5954,1.5954,0.2979,0.2979,2.2241
ga,BIG,hfvrp_n010_m03_s04,10,optimal,1,512.7013,512.7711,512.7711,0.0698,0.0698,0.0136,0.0136,2.2238
ga,BIG,hfvrp_n010_m03_s05,10,optimal,1,482.6244,537.0914,528.4113,54.4670,45.7868,11.2856,9.4871,2.2342
ga,BIG,hfvrp_n015_m03_s01,15,optimal,1,553.6347,576.7537,574.1256,23.1189,20.4909,4.1758,3.7012,2.9783
ga,BIG,hfvrp_n015_m03_s02,15,optimal,1,529.4852,538.8320,538.8320,9.3469,9.3469,1.7653,1.7653,2.9251
ga,BIG,hfvrp_n015_m03_s03,15,optimal,1,487.9861,518.2927,518.2927,30.3067,30.3067,6.2106,6.2106,2.9697
ga,BIG,hfvrp_n015_m03_s04,15,optimal,1,618.9494,618.9494,618.9494,0.0000,0.0000,0.0000,0.0000,2.9587
ga,BIG,hfvrp_n015_m03_s05,15,optimal,1,560.5144,590.8020,590.8020,30.2876,30.2876,5.4035,5.4035,2.9863
ga,BIG,hfvrp_n020_m04_s01,20,optimal,1,674.9256,676.4071,676.4071,1.4815,1.4815,0.2195,0.2195,3.9512
ga,BIG,hfvrp_n020_m04_s02,20,optimal,1,653.7222,668.7748,668.7748,15.0526,15.0526,2.3026,2.3026,3.9271
ga,BIG,hfvrp_n020_m04_s03,20,optimal,1,659.1587,666.0087,659.1587,6.8500,0.0000,1.0392,0.0000,3.9202
ga,BIG,hfvrp_n020_m04_s04,20,optimal,1,689.9915,721.4073,713.7675,31.4157,23.7760,4.5531,3.4458,3.9724
ga,BIG,hfvrp_n020_m04_s05,20,optimal,1,659.5494,694.7706,660.4350,35.2213,0.8856,5.3402,0.1343,4.0045
ga,BIG,hfvrp_n030_m06_s01,30,time_limit,0,1193.0776,1265.6631,1218.4779,72.5855,25.4004,6.0839,2.1290,5.9963
ga,BIG,hfvrp_n030_m06_s02,30,mem_limit,0,1028.4385,1104.3878,1023.3788,75.9492,-5.0598,7.3849,-0.4920,5.8937
ga,BIG,hfvrp_n030_m06_s03,30,time_limit,0,1182.7675,1226.2945,1171.9367,43.5269,-10.8308,3.6801,-0.9157,5.9166
ga,BIG,hfvrp_n030_m06_s04,30,optimal,1,1119.0438,1267.3851,1195.9307,148.3413,76.8869,13.2561,6.8708,5.9231
ga,BIG,hfvrp_n030_m06_s05,30,time_limit,0,1148.6884,1207.7529,1181.5796,59.0646,32.8912,5.1419,2.8634,5.9171
ga,BIG,hfvrp_n050_m10_s01,50,time_limit,0,2072.0326,2154.5995,2114.1223,82.5670,42.0897,3.9848,2.0313,10.2565
ga,BIG,hfvrp_n050_m10_s02,50,time_limit,0,1928.6474,2218.6619,2094.7724,290.0145,166.1250,15.0372,8.6135,10.3647
ga,BIG,hfvrp_n050_m10_s03,50,time_limit,0,1818.4415,2022.1751,1970.4892,203.7336,152.0477,11.2037,8.3614,10.3630
ga,BIG,hfvrp_n050_m10_s04,50,time_limit,0,1843.7127,2032.4043,1991.4428,188.6916,147.7301,10.2343,8.0126,10.2847
ga,BIG,hfvrp_n050_m10_s05,50,time_limit,0,1918.7271,2142.1505,2078.1547,223.4234,159.4276,11.6444,8.3090,10.2568
ga,BIG,hfvrp_n075_m15_s01,75,time_limit,0,4312.7143,3486.2228,3371.7205,-826.4915,-940.9938,-19.1641,-21.8191,16.6453
ga,BIG,hfvrp_n075_m15_s02,75,time_limit,0,4275.5747,3952.0993,3745.0566,-323.4753,-530.5181,-7.5657,-12.4081,16.6789
ga,BIG,hfvrp_n075_m15_s03,75,time_limit,0,4906.2000,3996.0618,3900.0997,-910.1382,-1006.1003,-18.5508,-20.5067,16.5599
ga,BIG,hfvrp_n075_m15_s04,75,time_limit,0,3923.0125,4170.6365,3933.1275,247.6240,10.1150,6.3121,0.2578,16.7886
ga,BIG,hfvrp_n075_m15_s05,75,time_limit,0,3678.3120,4074.4948,3952.2341,396.1828,273.9221,10.7708,7.4470,16.7852
ga,BIG,hfvrp_n100_m20_s04,100,time_limit,0,5835.8287,5896.3898,5661.9460,60.5612,-173.8827,1.0377,-2.9796,23.1582
ga,BIG,hfvrp_n100_m20_s05,100,time_limit,0,5865.0161,5837.7331,5652.3303,-27.2830,-212.6858,-0.4652,-3.6263,23.2274
