method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,0.0000,0.0000,174369.1410
tabu,2,73,-0.0000,0.0000,174369.1410
tabu,3,73,0.0000,0.0000,174369.1410
tabu,4,73,0.0000,0.0000,174369.1410
tabu,5,73,0.0000,0.0000,174369.1410
tabu,6,73,-0.0000,0.0000,174369.1410
tabu,7,73,-0.0000,0.0000,174369.1410
tabu,8,73,0.0000,0.0000,174369.1410
tabu,9,73,0.0000,0.0000,174369.1410
tabu,10,73,0.0000,0.0000,174369.1410
tabu,11,73,0.0000,0.0000,174369.1410
tabu,12,73,0.0000,0.0000,174369.1410
ga,1,74,12.5029,4.9731,229467.8402
ga,2,74,6.6163,2.6834,216274.3730
ga,3,74,4.2152,1.4817,210821.0560
ga,4,73,3.0833,0.8903,179578.8106
ga,5,73,2.4239,0.4980,178182.1392
ga,6,73,2.0189,0.4381,177337.4821
ga,7,73,1.7460,0.3963,176777.1800
ga,8,73,1.5466,0.3249,176373.0902
ga,9,73,1.3912,0.2471,176060.8467
ga,10,73,1.2644,0.2063,175806.7500
ga,11,73,1.1573,0.1878,175592.3072
ga,12,73,1.0647,0.1718,175406.7695
ga,13,73,0.9833,0.1578,175243.4615
ga,14,73,0.9109,0.1454,175097.9455
ga,15,73,0.8458,0.1343,174967.0840
ga,16,73,0.7868,0.1120,174848.5432
ga,17,73,0.7331,0.1048,174740.5187
ga,18,73,0.6838,0.0983,174641.5745
ga,19,73,0.6384,0.0922,174550.5422
ga,20,73,0.5963,0.0866,174466.4544
ga,21,73,0.5572,0.0813,174388.4984
ga,22,73,0.5206,0.0763,174315.9833
ga,23,73,0.4864,0.0716,174248.3150
ga,24,73,0.4543,0.0672,174184.9782
ga,25,73,0.4240,0.0629,174125.5218
ga,26,73,0.3954,0.0589,174069.5486
ga,27,73,0.3683,0.0551,174016.7063
ga,28,73,0.3426,0.0514,173966.6811
ga,29,73,0.3182,0.0479,173919.1923
ga,30,73,0.2949,0.0445,173873.9881
ga,31,73,0.2726,0.0363,173830.8423
ga,32,73,0.2513,0.0287,173789.5509
ga,33,73,0.2309,0.0267,173749.9302
ga,34,73,0.2114,0.0247,173711.8147
ga,35,73,0.1926,0.0228,173675.0551
ga,36,73,0.1745,0.0210,173639.5169
ga,37,73,0.1571,0.0191,173605.0791
ga,38,73,0.1404,0.0173,173571.6330
ga,39,73,0.1242,0.0146,173539.0808
ga,40,73,0.1085,0.0111,173507.3348
ga,41,73,0.0934,0.0081,173476.3165
ga,42,73,0.0788,0.0057,173445.9555
ga,43,73,0.0646,0.0037,173416.1887
ga,44,73,0.0509,0.0022,173386.9595
ga,45,73,0.0376,0.0013,173358.2170
ga,46,73,0.0247,0.0009,173329.9153
ga,47,73,0.0122,0.0000,173302.0125
ga,48,73,0.0000,0.0000,173274.4703
