method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,0.0000,0.0000,175413.1926
tabu,2,73,0.0000,0.0000,175413.1926
tabu,3,73,0.0000,0.0000,175413.1926
tabu,4,73,-0.0000,0.0000,175413.1926
tabu,5,73,0.0000,0.0000,175413.1926
tabu,6,73,0.0000,0.0000,175413.1926
tabu,7,73,-0.0000,0.0000,175413.1926
tabu,8,73,0.0000,0.0000,175413.1926
tabu,9,73,0.0000,0.0000,175413.1926
tabu,10,73,0.0000,0.0000,175413.1926
tabu,11,73,0.0000,0.0000,175413.1926
tabu,12,73,0.0000,0.0000,175413.1926
ga,1,74,14.4417,4.1095,231800.4631
ga,2,74,7.3296,1.2329,217513.3999
ga,3,74,4.5300,0.7336,211571.5909
ga,4,73,3.2568,0.5680,181015.5967
ga,5,73,2.5382,0.4876,179577.7751
ga,6,73,2.1081,0.4265,178689.6686
ga,7,73,1.8243,0.3800,178085.8058
ga,8,73,1.6199,0.3439,177640.7974
ga,9,73,1.4619,0.3145,177291.6434
ga,10,73,1.3333,0.2897,177004.8734
ga,11,73,1.2245,0.2682,176761.6239
ga,12,73,1.1302,0.2493,176550.5540
ga,13,73,1.0468,0.2324,176364.3749
ga,14,73,0.9722,0.2145,176198.1013
ga,15,73,0.9047,0.1975,176048.1379
ga,16,73,0.8432,0.1818,175911.7836
ga,17,73,0.7868,0.1672,175786.9451
ga,18,73,0.7347,0.1378,175671.9634
ga,19,73,0.6864,0.1082,175565.5012
ga,20,73,0.6414,0.0903,175466.4657
ga,21,73,0.5993,0.0837,175373.9542
ga,22,73,0.5599,0.0777,175287.2136
ga,23,73,0.5228,0.0723,175205.6102
ga,24,73,0.4879,0.0672,175128.6062
ga,25,73,0.4548,0.0626,175055.7417
ga,26,73,0.4236,0.0583,174986.6200
ga,27,73,0.3939,0.0542,174920.8966
ga,28,73,0.3657,0.0505,174858.2699
ga,29,73,0.3389,0.0469,174798.4737
ga,30,73,0.3134,0.0436,174741.2717
ga,31,73,0.2891,0.0404,174686.4525
ga,32,73,0.2658,0.0357,174633.8255
ga,33,73,0.2436,0.0310,174583.2178
ga,34,73,0.2223,0.0267,174534.4719
ga,35,73,0.2020,0.0228,174487.4431
ga,36,73,0.1825,0.0192,174441.9977
ga,37,73,0.1638,0.0159,174398.0119
ga,38,73,0.1459,0.0130,174355.3706
ga,39,73,0.1286,0.0104,174313.9657
ga,40,73,0.1121,0.0081,174273.6961
ga,41,73,0.0962,0.0061,174234.4665
ga,42,73,0.0809,0.0044,174196.1871
ga,43,73,0.0661,0.0030,174158.7725
ga,44,73,0.0519,0.0019,174122.1423
ga,45,73,0.0383,0.0010,174086.2198
ga,46,73,0.0251,0.0004,174050.9319
ga,47,73,0.0123,0.0000,174016.2092
ga,48,73,0.0000,0.0000,173981.9854
