method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,122.1824,23.6894,0.0000,0.0000,0.0007,0.0002
exact,2,6,196.3704,74.2032,0.0000,0.0000,0.0054,0.0012
exact,3,2,141.8345,22.1655,0.0000,0.0000,0.0032,0.0026
exact,5,5,377.0784,44.3300,0.0000,0.0000,0.0479,0.0263
exact,10,5,562.8364,27.1098,0.0000,0.0000,3.4620,2.8118
exact,15,5,710.0376,97.3075,0.0000,0.0000,1376.9710,1214.5265
exact,20,5,861.5727,30.6572,0.0000,0.0000,15944.0750,2664.7268
exact,30,5,1399.2548,54.5255,0.0000,0.0000,15241.6615,5516.6915
exact,31,1,6448.0451,0.0000,0.0000,0.0000,10274.4327,0.0000
exact,36,1,6088.8496,0.0000,0.0000,0.0000,14445.4509,0.0000
exact,44,1,10360.6841,0.0000,0.0000,0.0000,18000.0148,0.0000
exact,50,5,2877.5488,264.4291,0.0000,0.0000,12123.1818,2985.6747
exact,53,1,12506.4124,0.0000,0.0000,0.0000,13324.9043,0.0000
exact,59,1,14634.3977,0.0000,0.0000,0.0000,18000.0223,0.0000
exact,75,3,5708.2315,547.8819,0.0000,0.0000,15273.7095,469.0380
exact,79,1,18814.2436,0.0000,0.0000,0.0000,18000.0597,0.0000
exact,100,5,9569.8592,967.1764,0.0000,0.0000,18000.1392,0.0169
ga,1,240,122.1824,23.6894,0.0000,0.0000,0.2467,0.2936
ga,2,288,207.0989,87.4536,3.9812,8.8052,0.3180,0.3787
ga,3,96,141.8345,22.1655,0.0000,0.0000,0.3948,0.4710
ga,5,240,378.7324,44.4337,0.4392,0.8681,0.4844,0.5787
ga,10,240,605.9130,38.6390,7.8177,7.6556,0.7466,0.8936
ga,15,240,806.1700,140.3515,13.1083,5.8804,1.0036,1.2016
ga,20,240,951.5093,84.7221,10.3098,7.3011,1.3268,1.5891
ga,30,240,1642.2533,171.3795,17.4179,12.0320,1.9898,2.3824
