variant,runs,instances_covered,cost_mean,cost_std,runtime_mean,runtime_std
BIG,878,74,185754.5692,752186.6530,15.3091,20.7018
DEFAULT,876,73,209624.7492,854485.1881,0.2524,0.3426
MEDIUM,877,74,185118.6034,757363.6137,5.0507,6.8681
SMALL,876,73,236373.4853,957863.3649,0.0343,0.0453
