method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
exact,ex2_1v_infeasible,2,1,0.100000,42,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,infeasible,0,0,0,0.000396,
exact,ex1_1v_feasible,2,1,0.100000,42,84.142136,50.000000,89.142136,89.142136,78.556349,0.000000,1,1,optimal,0,2,2,0.003053,
exact,ex3_3v_all_feasible,3,3,0.100000,42,162.000000,20.000000,164.000000,164.000000,154.363591,0.000000,1,1,optimal,0,0,1,0.000657,
exact,ex4_3v_infeasible,4,3,0.100000,42,0.000000,0.000000,0.000000,0.000000,169.094658,1.000000,0,0,infeasible,0,0,0,0.000916,
exact,hfvrp_n001_m03_s01,1,3,0.100000,42,87.334995,168.337487,104.168743,104.168743,104.168743,0.000000,1,1,optimal,0,0,1,0.000598,
exact,ex5_3v_one_used_feasible,3,3,0.100000,42,107.597980,120.710678,119.669048,119.669048,95.597980,0.000000,1,1,optimal,0,4,2,0.005824,
exact,hfvrp_n001_m03_s02,1,3,0.100000,42,156.310634,50.546098,161.365244,161.365244,161.365244,0.000000,1,1,optimal,0,0,1,0.000629,
exact,hfvrp_n001_m03_s03,1,3,0.100000,42,130.438737,0.000000,130.438737,130.438737,130.438737,0.000000,1,1,optimal,0,0,1,0.000611,
exact,hfvrp_n001_m03_s04,1,3,0.100000,42,122.386776,0.000000,122.386776,122.386776,122.386776,0.000000,1,1,optimal,0,0,1,0.000638,
exact,hfvrp_n001_m03_s05,1,3,0.100000,42,89.097550,34.548775,92.552427,92.552427,92.552427,0.000000,1,1,optimal,0,0,1,0.001223,
exact,hfvrp_n002_m03_s01,2,3,0.100000,42,262.852855,468.007587,309.653613,309.653613,258.097137,0.000000,1,1,optimal,0,0,3,0.006342,
exact,hfvrp_n002_m03_s02,2,3,0.100000,42,139.033247,41.343143,143.167561,143.167561,130.817821,0.000000,1,1,optimal,0,12,3,0.004999,
exact,hfvrp_n002_m03_s03,2,3,0.100000,42,185.309216,25.338303,187.843046,187.843046,155.417444,0.000000,1,1,optimal,0,0,3,0.006541,
exact,hfvrp_n002_m03_s04,2,3,0.100000,42,174.552021,35.445494,178.096570,178.096570,142.481649,0.000000,1,1,optimal,0,18,3,0.006187,
exact,hfvrp_n002_m03_s05,2,3,0.100000,42,252.004246,183.153460,270.319592,270.319592,216.906774,0.000000,1,1,optimal,0,9,2,0.005153,
exact,hfvrp_n005_m03_s01,5,3,0.100000,42,350.283936,145.533835,364.837319,364.837319,267.549103,0.000000,1,1,optimal,6,180,2,0.033056,
exact,hfvrp_n005_m03_s02,5,3,0.100000,42,358.545666,176.381442,376.183810,376.183810,289.508762,0.000000,1,1,optimal,13,206,4,0.034282,
exact,hfvrp_n005_m03_s03,5,3,0.100000,42,444.734799,0.000000,444.734799,438.931910,325.638053,0.013048,1,1,optimal,0,224,3,0.044165,
exact,hfvrp_n005_m03_s04,5,3,0.100000,42,278.576281,287.478473,307.324128,307.324128,158.921111,0.000000,1,1,optimal,17,215,6,0.028638,
exact,hfvrp_n005_m03_s05,5,3,0.100000,42,363.420355,288.915413,392.311896,392.311896,301.150444,0.000000,1,1,optimal,43,768,5,0.099528,
exact,hfvrp_n010_m03_s01,10,3,0.100000,42,505.698641,331.824464,538.881088,538.881088,315.594584,0.000000,1,1,optimal,3032,30908,11,1.605055,
exact,hfvrp_n010_m03_s02,10,3,0.100000,42,488.666606,539.371764,542.603782,542.603782,309.276307,0.000000,1,1,optimal,3158,31628,6,3.148476,
exact,hfvrp_n010_m03_s03,10,3,0.100000,42,534.726709,763.645230,611.091232,611.091232,425.188513,0.000000,1,1,optimal,2051,21992,8,3.109323,
exact,hfvrp_n010_m03_s05,10,3,0.100000,42,481.969273,655.167646,547.486037,547.486037,340.923866,0.000000,1,1,optimal,1813,11308,2,0.681673,
exact,hfvrp_n010_m03_s04,10,3,0.100000,42,519.712457,544.076456,574.120103,574.120103,354.592371,0.000000,1,1,optimal,9609,88334,18,8.765682,
exact,hfvrp_n015_m03_s05,15,3,0.100000,42,591.488417,964.713238,687.959741,687.959741,352.825609,0.000000,1,1,optimal,68905,1047779,12,93.950806,
exact,hfvrp_n015_m03_s03,15,3,0.100000,42,487.231918,754.172361,562.649154,562.648593,336.962556,0.000001,1,1,optimal,202935,2247469,3,257.055498,
exact,hfvrp_n015_m03_s01,15,3,0.100000,42,566.527014,1387.072515,705.234265,705.233584,418.056740,0.000001,1,1,optimal,657258,10639148,17,1386.205394,
exact,hfvrp_n015_m03_s04,15,3,0.100000,42,669.449634,1981.675868,867.617221,867.616817,403.518958,0.000000,1,1,optimal,845323,10137919,13,1676.594162,
exact,hfvrp_n015_m03_s02,15,3,0.100000,42,575.017370,1517.103915,726.727761,726.727661,369.693351,0.000000,1,1,optimal,1433762,23174382,15,3471.048921,
exact,hfvrp_n020_m04_s01,20,4,0.100000,42,692.555504,1434.548101,836.010314,736.483526,484.079248,0.119050,0,1,mem_limit,1802316,49047276,23,11481.312727,
exact,hfvrp_n020_m04_s03,20,4,0.100000,42,679.686129,2186.767398,898.362869,781.158002,462.677123,0.130465,0,1,mem_limit,2153761,67688648,18,14239.056048,
exact,hfvrp_n030_m06_s02,30,6,0.100000,42,1170.560634,2443.591437,1414.919778,972.980707,701.312133,0.312342,0,1,mem_limit,728383,15405462,37,4208.278385,
exact,hfvrp_n020_m04_s02,20,4,0.100000,42,722.670829,1086.684582,831.339287,757.816116,516.395425,0.088439,0,1,time_limit,2589400,101843560,21,18000.002552,
exact,hfvrp_n020_m04_s04,20,4,0.100000,42,753.478494,1458.607803,899.339274,817.360338,507.487641,0.091155,0,1,time_limit,3282263,88462590,26,18000.002353,
exact,hfvrp_n020_m04_s05,20,4,0.100000,42,668.580752,1742.307836,842.811535,800.631371,548.793994,0.050047,0,1,time_limit,2447130,86534981,12,18000.001246,
exact,hfvrp_n030_m06_s01,30,6,0.100000,42,1203.435039,2882.999800,1491.735019,1021.082460,682.168747,0.315507,0,1,time_limit,1587787,48042470,57,18000.005651,
exact,hfvrp_n050_m10_s01,50,10,0.100000,42,2261.131919,6357.817072,2896.913626,1817.084857,1320.522719,0.372751,0,1,mem_limit,262187,14425419,33,11284.849278,
exact,hfvrp_n050_m10_s02,50,10,0.100000,42,2220.640062,11380.117522,3358.651814,1632.350947,1286.560910,0.513986,0,1,mem_limit,267956,15279107,42,11084.418803,
exact,hfvrp_n030_m06_s03,30,6,0.100000,42,1201.955035,1981.630518,1400.118087,1066.365531,794.221151,0.238375,0,1,time_limit,1159180,57074701,39,18000.003109,
exact,hfvrp_n030_m06_s04,30,6,0.100000,42,1116.843806,2200.007282,1336.844535,1131.400592,854.868152,0.153678,0,1,time_limit,937466,47131301,25,18000.009671,
exact,hfvrp_n030_m06_s05,30,6,0.100000,42,1151.069358,2015.871634,1352.656522,1059.049227,796.518999,0.217060,0,1,time_limit,1099640,49866793,24,18000.010517,
exact,hfvrp_n050_m10_s03,50,10,0.100000,42,1898.595817,6643.235953,2562.919413,1579.448282,1225.063023,0.383731,0,1,time_limit,284784,17144371,45,18000.012412,
exact,hfvrp_n050_m10_s05,50,10,0.100000,42,2066.566193,7456.231660,2812.189359,1735.393946,1158.815585,0.382903,0,1,mem_limit,268362,13056601,72,9767.393328,
exact,hfvrp_n050_m10_s04,50,10,0.100000,42,1986.591512,7704.783505,2757.069862,1613.814237,1252.731272,0.414663,0,1,mem_limit,283547,13128857,54,10479.234977,
exact,hfvrp_n075_m15_s01,75,15,0.100000,42,4219.634573,7187.671800,4938.401753,2415.220191,1825.311141,0.510931,0,1,mem_limit,81114,6010506,84,15181.125539,
exact,hfvrp_n075_m15_s03,75,15,0.100000,42,4526.801101,14902.959908,6017.097092,2805.781331,2155.929751,0.533699,0,1,mem_limit,81586,5999266,60,14751.172738,
exact,hfvrp_n075_m15_s02,75,15,0.100000,42,0.000000,0.000000,0.000000,2680.038973,2092.227672,1.000000,0,0,no_solution,46907,4466926,0,18000.009095,
exact,hfvrp_n075_m15_s04,75,15,0.100000,42,4958.730882,12104.646987,6169.195581,2611.896503,2071.372250,0.576623,0,1,mem_limit,82012,6230439,58,15888.830104,
exact,hfvrp_n075_m15_s05,75,15,0.100000,42,0.000000,0.000000,0.000000,2702.881201,2159.027377,1.000000,0,0,no_solution,39713,4067181,0,18000.013084,
exact,hfvrp_n100_m20_s01,100,20,0.100000,42,8632.944133,27213.205975,11354.264731,3611.736189,2957.348607,0.681905,0,1,time_limit,29013,2231705,47,18000.149411,
exact,hfvrp_n100_m20_s02,100,20,0.100000,42,6408.522062,28222.221737,9230.744236,3381.766207,2752.884228,0.633641,0,1,time_limit,27868,2195050,55,18000.166252,
exact,hfvrp_n100_m20_s03,100,20,0.100000,42,6889.890892,19669.533938,8856.844285,3581.048722,2856.661782,0.595674,0,1,time_limit,25866,2215717,40,18000.125379,
exact,hfvrp_n100_m20_s04,100,20,0.100000,42,6619.851344,20354.427727,8655.294117,3722.803353,3002.353415,0.569881,0,1,time_limit,26555,2473486,40,18000.135477,
exact,hfvrp_n100_m20_s05,100,20,0.100000,42,7313.358543,24387.902948,9752.148837,3445.532049,2774.994506,0.646690,0,1,time_limit,30562,2607704,37,18000.119431,
exact,hfvrp_n150_m30_s01,150,30,0.100000,42,0.000000,0.000000,0.000000,6385.775063,5147.309259,1.000000,0,0,no_solution,1512,371780,0,18000.150285,
exact,hfvrp_n150_m30_s02,150,30,0.100000,42,0.000000,0.000000,0.000000,6299.735706,4935.867158,1.000000,0,0,no_solution,3024,539316,0,18000.206711,
exact,hfvrp_n150_m30_s03,150,30,0.100000,42,0.000000,0.000000,0.000000,6271.806067,5269.518578,1.000000,0,0,no_solution,1512,308596,0,18000.138276,
exact,hfvrp_n150_m30_s04,150,30,0.100000,42,0.000000,0.000000,0.000000,6336.314406,5229.400932,1.000000,0,0,no_solution,3024,637562,0,18000.144619,
exact,hfvrp_n150_m30_s05,150,30,0.100000,42,16932.197500,59330.020928,22865.199593,6319.528072,5117.686791,0.726074,0,0,time_limit,4974,723907,1,18000.117472,
exact,hfvrp_n200_m40_s01,200,40,0.100000,42,0.000000,0.000000,0.000000,9987.617552,8695.742805,1.000000,0,0,no_solution,459,357859,0,18000.180121,
exact,hfvrp_n200_m40_s02,200,40,0.100000,42,0.000000,0.000000,0.000000,10286.795795,8762.069592,1.000000,0,0,no_solution,459,308457,0,18000.579449,
exact,augerat_A_n32_k5,31,8,0.100000,42,6209.264921,2387.801675,6448.045089,5632.463142,5557.793975,0.126485,0,1,mem_limit,707417,19804248,38,10274.432739,
exact,hfvrp_n200_m40_s03,200,40,0.100000,42,8221.255300,4126.300660,8633.885366,10108.687645,8494.383172,0.293779,0,0,time_limit,918,474263,1,18000.300992,
exact,hfvrp_n200_m40_s04,200,40,0.100000,42,9994.369479,3427.634930,10337.132972,9953.836863,8618.328821,0.337821,0,0,time_limit,918,499266,1,18000.582965,
exact,hfvrp_n200_m40_s05,200,40,0.100000,42,8676.854129,6246.128839,9301.467013,9975.459119,8496.529150,0.314210,0,0,time_limit,1010,374783,1,18000.291454,
exact,augerat_A_n37_k5,36,8,0.100000,42,5959.408328,1294.412233,6088.849552,5601.524517,5474.595385,0.080036,0,1,mem_limit,613050,25964842,28,14445.450930,
exact,augerat_A_n54_k7,53,8,0.100000,42,12052.050278,4543.621348,12506.412412,10959.779589,10321.271985,0.123667,0,1,mem_limit,268298,19450327,43,13324.904275,
exact,augerat_A_n45_k6,44,8,0.100000,42,10260.216222,1004.679178,10360.684140,9896.347888,8817.923568,0.044817,0,1,time_limit,250216,16830084,75,18000.014801,
exact,augerat_A_n60_k9,59,10,0.100000,42,14336.748410,2976.492787,14634.397689,13166.779161,12829.634497,0.100286,0,1,time_limit,123872,9061563,55,18000.022272,
exact,augerat_A_n80_k10,79,11,0.100000,42,18268.175730,5460.678743,18814.243604,16214.977693,14973.308684,0.138154,0,1,time_limit,56793,4420926,70,18000.059714,
exact,pyvrp_X101_FSMFD,100,26,0.100000,42,0.000000,0.000000,0.000000,2608124.815189,2482738.062988,1.000000,0,0,no_solution,2391,336715,0,18000.030375,
exact,pyvrp_X106_FSMD,105,16,0.100000,42,0.000000,0.000000,0.000000,2518603.851173,2277852.141701,1.000000,0,0,no_solution,6765,907912,0,18000.020524,
exact,pyvrp_X110_HD,109,13,0.100000,42,0.000000,0.000000,0.000000,1130480.430278,963289.605275,1.000000,0,0,no_solution,9000,856322,0,18000.026249,
exact,pyvrp_X115_HVRP,114,18,0.100000,42,0.000000,0.000000,0.000000,1379779.598871,1240009.383263,1.000000,0,0,no_solution,2558,784180,0,18000.042868,
exact,pyvrp_X120_FSMF,119,12,0.100000,42,4343499.156874,193553.706940,4362854.527568,2498533.456828,2407339.589509,0.431532,0,0,time_limit,36520,2586441,1,18000.027350,
