method,instance,runs,cost_mean,cost_std,runtime_mean
exact,augerat_A_n32_k5,1,6448.0451,0,10274.4327
exact,augerat_A_n37_k5,1,6088.8496,0,14445.4509
exact,augerat_A_n45_k6,1,10360.6841,0,18000.0148
exact,augerat_A_n54_k7,1,12506.4124,0,13324.9043
exact,augerat_A_n60_k9,1,14634.3977,0,18000.0223
exact,augerat_A_n80_k10,1,18814.2436,0,18000.0597
exact,ex1_1v_feasible,1,89.1421,0,0.0031
exact,ex3_3v_all_feasible,1,164.0000,0,0.0007
exact,ex5_3v_one_used_feasible,1,119.6690,0,0.0058
exact,hfvrp_n001_m03_s01,1,104.1687,0,0.0006
exact,hfvrp_n001_m03_s02,1,161.3652,0,0.0006
exact,hfvrp_n001_m03_s03,1,130.4387,0,0.0006
exact,hfvrp_n001_m03_s04,1,122.3868,0,0.0006
exact,hfvrp_n001_m03_s05,1,92.5524,0,0.0012
exact,hfvrp_n002_m03_s01,1,309.6536,0,0.0063
exact,hfvrp_n002_m03_s02,1,143.1676,0,0.0050
exact,hfvrp_n002_m03_s03,1,187.8430,0,0.0065
exact,hfvrp_n002_m03_s04,1,178.0966,0,0.0062
exact,hfvrp_n002_m03_s05,1,270.3196,0,0.0052
exact,hfvrp_n005_m03_s01,1,364.8373,0,0.0331
exact,hfvrp_n005_m03_s02,1,376.1838,0,0.0343
exact,hfvrp_n005_m03_s03,1,444.7348,0,0.0442
exact,hfvrp_n005_m03_s04,1,307.3241,0,0.0286
exact,hfvrp_n005_m03_s05,1,392.3119,0,0.0995
exact,hfvrp_n010_m03_s01,1,538.8811,0,1.6051
exact,hfvrp_n010_m03_s02,1,542.6038,0,3.1485
exact,hfvrp_n010_m03_s03,1,611.0912,0,3.1093
exact,hfvrp_n010_m03_s04,1,574.1201,0,8.7657
exact,hfvrp_n010_m03_s05,1,547.4860,0,0.6817
exact,hfvrp_n015_m03_s01,1,705.2343,0,1386.2054
exact,hfvrp_n015_m03_s02,1,726.7278,0,3471.0489
exact,hfvrp_n015_m03_s03,1,562.6492,0,257.0555
exact,hfvrp_n015_m03_s04,1,867.6172,0,1676.5942
exact,hfvrp_n015_m03_s05,1,687.9597,0,93.9508
exact,hfvrp_n020_m04_s01,1,836.0103,0,11481.3127
exact,hfvrp_n020_m04_s02,1,831.3393,0,18000.0026
exact,hfvrp_n020_m04_s03,1,898.3629,0,14239.0560
exact,hfvrp_n020_m04_s04,1,899.3393,0,18000.0024
exact,hfvrp_n020_m04_s05,1,842.8115,0,18000.0012
exact,hfvrp_n030_m06_s01,1,1491.7350,0,18000.0057
exact,hfvrp_n030_m06_s02,1,1414.9198,0,4208.2784
