method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,mem_limit,0,6448.0451,8401.5587,8393.6273,1953.5136,1945.5822,30.2962,30.1732,6.2758
ga,BIG,augerat_A_n37_k5,36,mem_limit,0,6088.8496,8305.9377,8259.8618,2217.0881,2171.0122,36.4123,35.6555,7.4104
ga,BIG,augerat_A_n45_k6,44,time_limit,0,10360.6841,11590.8484,11519.2090,1230.1642,1158.5248,11.8734,11.1819,9.2546
ga,BIG,augerat_A_n54_k7,53,mem_limit,0,12506.4124,12811.8486,12762.6778,305.4362,256.2654,2.4422,2.0491,11.2918
ga,BIG,augerat_A_n60_k9,59,time_limit,0,14634.3977,16197.7558,16102.9676,1563.3581,1468.5699,10.6828,10.0351,12.9360
ga,BIG,augerat_A_n80_k10,79,time_limit,0,18814.2436,18424.7417,18329.1830,-389.5019,-485.0606,-2.0703,-2.5782,17.6873
ga,BIG,ex1_1v_feasible,2,optimal,1,89.1421,89.1421,89.1421,0.0000,0.0000,0.0000,0.0000,0.8858
ga,BIG,ex3_3v_all_feasible,3,optimal,1,164.0000,164.0000,164.0000,0.0000,0.0000,0.0000,0.0000,1.1823
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,119.6690,119.6690,119.6690,0.0000,0.0000,0.0000,0.0000,1.1490
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,104.1687,104.1687,104.1687,0.0000,0.0000,0.0000,0.0000,0.7258
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,161.3652,161.3652,161.3652,0.0000,0.0000,0.0000,0.0000,0.7304
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7210
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7267
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,92.5524,92.5524,92.5524,0.0000,0.0000,0.0000,0.0000,0.7322
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,309.6536,309.6536,309.6536,0.0000,0.0000,0.0000,0.0000,0.9709
ga,BIG,hfvrp_n002_m03_s02,2,optimal,1,143.1676,143.1676,143.1676,0.0000,0.0000,0.0000,0.0000,0.9344
ga,BIG,hfvrp_n002_m03_s03,2,optimal,1,187.8430,187.8430,187.8430,0.0000,0.0000,0.0000,0.0000,0.9644
ga,BIG,hfvrp_n002_m03_s04,2,optimal,1,178.0966,178.4846,178.4846,0.3880,0.3880,0.2179,0.2179,0.9312
ga,BIG,hfvrp_n002_m03_s05,2,optimal,1,270.3196,334.3026,334.3026,63.9831,63.9831,23.6694,23.6694,0.9366
ga,BIG,hfvrp_n005_m03_s01,5,optimal,1,364.8373,364.8373,364.8373,0.0000,0.0000,0.0000,0.0000,1.4255
ga,BIG,hfvrp_n005_m03_s02,5,optimal,1,376.1838,384.2268,384.2268,8.0430,8.0430,2.1380,2.1380,1.4318
ga,BIG,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,1.4350
ga,BIG,hfvrp_n005_m03_s04,5,optimal,1,307.3241,307.3241,307.3241,0.0000,0.0000,0.0000,0.0000,1.4383
ga,BIG,hfvrp_n005_m03_s05,5,optimal,1,392.3119,392.3119,392.3119,0.0000,0.0000,0.0000,0.0000,1.4296
ga,BIG,hfvrp_n010_m03_s01,10,optimal,1,538.8811,563.1037,563.1037,24.2226,24.2226,4.4950,4.4950,2.1934
ga,BIG,hfvrp_n010_m03_s02,10,optimal,1,542.6038,591.4542,591.4542,48.8504,48.8504,9.0030,9.0030,2.2522
ga,BIG,hfvrp_n010_m03_s03,10,optimal,1,611.0912,624.0038,624.0038,12.9126,12.9126,2.1130,2.1130,2.2112
