method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,time_limit,0,14061.0143,15903.3341,15743.0755,1842.3198,1682.0612,13.1023,11.9626,6.4255
ga,BIG,augerat_A_n37_k5,36,time_limit,0,11748.3895,12955.8880,12782.1722,1207.4985,1033.7827,10.2780,8.7994,7.5009
ga,BIG,augerat_A_n45_k6,44,mem_limit,0,18357.4014,16611.6603,16432.2964,-1745.7412,-1925.1051,-9.5097,-10.4868,9.3538
ga,BIG,augerat_A_n54_k7,53,time_limit,0,26234.6103,25749.3585,25273.1535,-485.2518,-961.4568,-1.8497,-3.6648,11.4910
ga,BIG,augerat_A_n60_k9,59,time_limit,0,28511.2899,28960.2474,28614.6075,448.9575,103.3176,1.5747,0.3624,13.1454
ga,BIG,augerat_A_n80_k10,79,time_limit,0,42641.6479,37698.7240,37275.3162,-4942.9239,-5366.3317,-11.5918,-12.5847,18.0859
ga,BIG,ex1_1v_feasible,2,optimal,1,334.1421,334.1421,334.1421,0.0000,0.0000,0.0000,0.0000,0.8952
ga,BIG,ex3_3v_all_feasible,3,optimal,1,262.0000,262.0000,262.0000,0.0000,0.0000,0.0000,0.0000,1.1903
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,365.7990,365.7990,365.7990,0.0000,0.0000,0.0000,0.0000,1.1549
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,929.0224,929.0224,929.0224,0.0000,0.0000,0.0000,0.0000,0.7352
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,409.0411,409.0411,409.0411,0.0000,0.0000,0.0000,0.0000,0.7365
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7312
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7346
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,261.8414,261.8414,261.8414,0.0000,0.0000,0.0000,0.0000,0.7357
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,2602.8908,2602.8908,2602.8908,0.0000,0.0000,0.0000,0.0000,0.9820
ga,BIG,hfvrp_n002_m03_s02,2,optimal,1,345.7490,345.7490,345.7490,0.0000,0.0000,0.0000,0.0000,0.9422
ga,BIG,hfvrp_n002_m03_s03,2,optimal,1,312.0007,312.0007,312.0007,0.0000,0.0000,0.0000,0.0000,0.9762
ga,BIG,hfvrp_n002_m03_s04,2,optimal,1,351.7795,352.1675,352.1675,0.3880,0.3880,0.1103,0.1103,0.9387
ga,BIG,hfvrp_n002_m03_s05,2,optimal,1,1167.7715,1884.2383,1884.2383,716.4668,716.4668,61.3533,61.3533,0.9400
ga,BIG,hfvrp_n005_m03_s01,5,optimal,1,1077.9531,1077.9531,1077.9531,0.0000,0.0000,0.0000,0.0000,1.4282
ga,BIG,hfvrp_n005_m03_s02,5,optimal,1,1240.4529,1263.8521,1263.8521,23.3992,23.3992,1.8863,1.8863,1.4272
ga,BIG,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,1.4448
ga,BIG,hfvrp_n005_m03_s04,5,optimal,1,1636.1745,1636.1745,1636.1745,0.0000,0.0000,0.0000,0.0000,1.4413
ga,BIG,hfvrp_n005_m03_s05,5,optimal,1,1268.9488,1423.1393,1423.1393,154.1905,154.1905,12.1510,12.1510,1.4457
ga,BIG,hfvrp_n010_m03_s01,10,optimal,1,1872.4802,1892.3658,1886.5416,19.8857,14.0614,1.0620,0.7510,2.2153
ga,BIG,hfvrp_n010_m03_s02,10,optimal,1,2619.1182,2648.8170,2640.7904,29.6989,21.6722,1.1339,0.8275,2.2340
ga,BIG,hfvrp_n010_m03_s03,10,optimal,1,2995.6965,3397.9443,3397.9443,402.2478,402.2478,13.4275,13.4275,2.2356
ga,BIG,hfvrp_n010_m03_s04,10,optimal,1,2537.2915,3591.3816,3591.3346,1054.0901,1054.0431,41.5439,41.5421,2.2372
ga,BIG,hfvrp_n010_m03_s05,10,optimal,1,2606.2722,3389.1333,3389.1333,782.8611,782.8611,30.0376,30.0376,2.2471
ga,BIG,hfvrp_n015_m03_s01,15,optimal,1,5798.1728,10757.9713,10757.9713,4959.7985,4959.7985,85.5407,85.5407,3.0087
ga,BIG,hfvrp_n015_m03_s02,15,time_limit,0,5455.4133,7694.7958,7694.7958,2239.3825,2239.3825,41.0488,41.0488,2.9648
ga,BIG,hfvrp_n015_m03_s03,15,time_limit,0,3081.0660,3565.7321,3565.7321,484.6661,484.6661,15.7305,15.7305,3.0319
ga,BIG,hfvrp_n015_m03_s04,15,time_limit,0,10106.7950,17508.1968,17508.1968,7401.4018,7401.4018,73.2319,73.2319,2.9702
ga,BIG,hfvrp_n015_m03_s05,15,time_limit,0,3955.2057,4677.0788,4669.9625,721.8731,714.7568,18.2512,18.0713,3.0141
ga,BIG,hfvrp_n020_m04_s01,20,time_limit,0,4020.4923,6014.9342,6014.9342,1994.4420,1994.4420,49.6069,49.6069,4.0088
ga,BIG,hfvrp_n020_m04_s02,20,time_limit,0,4701.4130,6060.8128,6021.6735,1359.3997,1320.2605,28.9147,28.0822,3.9494
ga,BIG,hfvrp_n020_m04_s03,20,time_limit,0,7089.9673,10191.3714,10020.8408,3101.4041,2930.8735,43.7436,41.3383,3.9549
ga,BIG,hfvrp_n020_m04_s04,20,time_limit,0,6797.6101,9686.0013,9428.4488,2888.3912,2630.8387,42.4913,38.7024,3.9601
ga,BIG,hfvrp_n020_m04_s05,20,time_limit,0,6225.1299,10011.7881,8660.0277,3786.6582,2434.8978,60.8286,39.1140,3.9186
ga,BIG,hfvrp_n030_m06_s01,30,time_limit,0,10613.2163,13728.2512,13647.0869,3115.0350,3033.8706,29.3505,28.5858,6.1540
ga,BIG,hfvrp_n030_m06_s02,30,mem_limit,0,9946.1814,11874.9309,11211.2502,1928.7495,1265.0688,19.3919,12.7191,6.1124
ga,BIG,hfvrp_n030_m06_s03,30,mem_limit,0,7190.5071,9459.9858,8746.5110,2269.4787,1556.0038,31.5622,21.6397,5.9892
