method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,0.0000,0.0000,202868.4319
tabu,2,73,0.0000,0.0000,202868.4319
tabu,3,73,-0.0000,0.0000,202868.4319
tabu,4,73,0.0000,0.0000,202868.4319
tabu,5,73,0.0000,0.0000,202868.4319
tabu,6,73,-0.0000,0.0000,202868.4319
tabu,7,73,0.0000,0.0000,202868.4319
tabu,8,73,-0.0000,0.0000,202868.4319
tabu,9,73,-0.0000,0.0000,202868.4319
tabu,10,73,0.0000,0.0000,202868.4319
tabu,11,73,0.0000,0.0000,202868.4319
tabu,12,73,0.0000,0.0000,202868.4319
ga,1,74,35.8316,8.4568,291559.4021
ga,2,74,14.6441,4.2364,262239.6807
ga,3,74,7.7451,2.4411,251295.7118
ga,4,74,4.9394,1.4511,246303.4653
ga,5,74,3.5927,1.2077,243699.9961
ga,6,73,2.8992,1.0582,212736.3054
ga,7,73,2.4411,0.9161,211908.8878
ga,8,73,2.1286,0.8307,211343.6081
ga,9,73,1.8971,0.7460,210926.4409
ga,10,73,1.7144,0.6591,210599.4672
ga,11,73,1.5637,0.5903,210331.7429
ga,12,73,1.4354,0.5337,210105.7483
ga,13,73,1.3237,0.5071,209910.8882
ga,14,73,1.2250,0.4926,209740.3013
ga,15,73,1.1368,0.4781,209589.2559
ga,16,73,1.0571,0.4506,209454.3140
ga,17,73,0.9845,0.4205,209332.8753
ga,18,73,0.9181,0.3926,209222.9127
ga,19,73,0.8568,0.3666,209122.8102
ga,20,73,0.8000,0.3424,209031.2562
ga,21,73,0.7472,0.3196,208947.1712
ga,22,73,0.6979,0.2983,208869.6559
ga,23,73,0.6517,0.2758,208797.9535
ga,24,73,0.6083,0.2538,208731.4214
ga,25,73,0.5673,0.2336,208669.5096
ga,26,73,0.5286,0.2149,208611.7446
ga,27,73,0.4919,0.1930,208557.7159
ga,28,73,0.4571,0.1685,208507.0660
ga,29,73,0.4240,0.1470,208459.4821
ga,30,73,0.3925,0.1280,208414.6895
ga,31,73,0.3624,0.1112,208372.4458
ga,32,73,0.3337,0.1003,208332.5366
ga,33,73,0.3062,0.0906,208294.7717
ga,34,73,0.2799,0.0814,208258.9816
ga,35,73,0.2547,0.0727,208225.0148
ga,36,73,0.2305,0.0645,208192.7360
ga,37,73,0.2072,0.0568,208162.0233
ga,38,73,0.1848,0.0505,208132.7671
ga,39,73,0.1633,0.0454,208104.8682
ga,40,73,0.1425,0.0404,208078.2369
ga,41,73,0.1225,0.0353,208052.7916
ga,42,73,0.1032,0.0303,208028.4581
ga,43,73,0.0845,0.0252,208005.1683
ga,44,73,0.0665,0.0202,207982.8602
ga,45,73,0.0491,0.0151,207961.4764
ga,46,73,0.0322,0.0094,207940.9642
ga,47,73,0.0158,0.0037,207921.2746
ga,48,73,0.0000,0.0000,207902.3622
