method,instance,runs,cost_mean,cost_std,runtime_mean
exact,augerat_A_n32_k5,1,14061.0143,0,18000.0080
exact,augerat_A_n37_k5,1,11748.3895,0,18000.0087
exact,augerat_A_n45_k6,1,18357.4014,0,12979.9191
exact,augerat_A_n54_k7,1,26234.6103,0,18000.0164
exact,augerat_A_n60_k9,1,28511.2899,0,18000.0180
exact,augerat_A_n80_k10,1,42641.6479,0,18000.0643
exact,ex1_1v_feasible,1,334.1421,0,0.0030
exact,ex3_3v_all_feasible,1,262.0000,0,0.0006
exact,ex5_3v_one_used_feasible,1,365.7990,0,0.0057
exact,hfvrp_n001_m03_s01,1,929.0224,0,0.0006
exact,hfvrp_n001_m03_s02,1,409.0411,0,0.0007
exact,hfvrp_n001_m03_s03,1,130.4387,0,0.0006
exact,hfvrp_n001_m03_s04,1,122.3868,0,0.0006
exact,hfvrp_n001_m03_s05,1,261.8414,0,0.0007
exact,hfvrp_n002_m03_s01,1,2602.8908,0,0.0057
exact,hfvrp_n002_m03_s02,1,345.7490,0,0.0053
exact,hfvrp_n002_m03_s03,1,312.0007,0,0.0060
exact,hfvrp_n002_m03_s04,1,351.7795,0,0.0066
exact,hfvrp_n002_m03_s05,1,1167.7715,0,0.0052
exact,hfvrp_n005_m03_s01,1,1077.9531,0,0.0216
exact,hfvrp_n005_m03_s02,1,1240.4529,0,0.0333
exact,hfvrp_n005_m03_s03,1,444.7348,0,0.0433
exact,hfvrp_n005_m03_s04,1,1636.1745,0,0.0412
exact,hfvrp_n005_m03_s05,1,1268.9488,0,0.0852
exact,hfvrp_n010_m03_s01,1,1872.4802,0,4.0412
exact,hfvrp_n010_m03_s02,1,2619.1182,0,9.8165
exact,hfvrp_n010_m03_s03,1,2995.6965,0,35.9869
exact,hfvrp_n010_m03_s04,1,2537.2915,0,85.0094
exact,hfvrp_n010_m03_s05,1,2606.2722,0,42.9126
exact,hfvrp_n015_m03_s01,1,5798.1728,0,10044.7121
exact,hfvrp_n015_m03_s02,1,5455.4133,0,18000.0008
exact,hfvrp_n015_m03_s03,1,3081.0660,0,18000.0008
exact,hfvrp_n015_m03_s04,1,10106.7950,0,18000.0014
exact,hfvrp_n015_m03_s05,1,3955.2057,0,18000.0009
exact,hfvrp_n020_m04_s01,1,4020.4923,0,18000.0035
exact,hfvrp_n020_m04_s02,1,4701.4130,0,18000.0014
exact,hfvrp_n020_m04_s03,1,7089.9673,0,18000.0013
exact,hfvrp_n020_m04_s04,1,6797.6101,0,18000.0031
exact,hfvrp_n020_m04_s05,1,6225.1299,0,18000.0022
exact,hfvrp_n030_m06_s01,1,10613.2163,0,18000.0037
exact,hfvrp_n030_m06_s02,1,9946.1814,0,10955.6762
exact,hfvrp_n030_m06_s03,1,7190.5071,0,8455.0857
exact,hfvrp_n030_m06_s04,1,9219.2793,0,13625.4598
