method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
exact,ex1_1v_feasible,2,1,5.000000,42,84.142136,50.000000,334.142136,334.142136,78.556349,0.000000,1,1,optimal,0,2,2,0.002968,
exact,ex2_1v_infeasible,2,1,5.000000,42,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,infeasible,0,0,0,0.000884,
exact,ex3_3v_all_feasible,3,3,5.000000,42,162.000000,20.000000,262.000000,262.000000,154.363591,0.000000,1,1,optimal,0,0,1,0.000618,
exact,ex4_3v_infeasible,4,3,5.000000,42,0.000000,0.000000,0.000000,0.000000,169.094658,1.000000,0,0,infeasible,0,0,0,0.000912,
exact,ex5_3v_one_used_feasible,3,3,5.000000,42,115.798990,50.000000,365.798990,365.798990,95.597980,0.000000,1,1,optimal,0,10,2,0.005695,
exact,hfvrp_n001_m03_s01,1,3,5.000000,42,87.334995,168.337487,929.022429,929.022429,929.022429,0.000000,1,1,optimal,0,0,1,0.000609,
exact,hfvrp_n001_m03_s02,1,3,5.000000,42,156.310634,50.546098,409.041123,409.041123,409.041123,0.000000,1,1,optimal,0,0,1,0.000657,
exact,hfvrp_n001_m03_s03,1,3,5.000000,42,130.438737,0.000000,130.438737,130.438737,130.438737,0.000000,1,1,optimal,0,0,1,0.000631,
exact,hfvrp_n001_m03_s04,1,3,5.000000,42,122.386776,0.000000,122.386776,122.386776,122.386776,0.000000,1,1,optimal,0,0,1,0.000590,
exact,hfvrp_n001_m03_s05,1,3,5.000000,42,89.097550,34.548775,261.841425,261.841425,261.841425,0.000000,1,1,optimal,0,0,1,0.000736,
exact,hfvrp_n002_m03_s01,2,3,5.000000,42,262.852855,468.007587,2602.890787,2602.890787,258.097137,0.000000,1,1,optimal,0,0,3,0.005697,
exact,hfvrp_n002_m03_s02,2,3,5.000000,42,139.033247,41.343143,345.748960,345.748960,130.817821,0.000000,1,1,optimal,0,16,2,0.005289,
exact,hfvrp_n002_m03_s03,2,3,5.000000,42,185.309216,25.338303,312.000733,312.000733,155.417444,0.000000,1,1,optimal,0,0,3,0.006005,
exact,hfvrp_n002_m03_s04,2,3,5.000000,42,174.552021,35.445494,351.779489,351.779489,142.481649,0.000000,1,1,optimal,0,19,3,0.006578,
exact,hfvrp_n002_m03_s05,2,3,5.000000,42,252.004246,183.153460,1167.771547,1167.771547,216.906774,0.000000,1,1,optimal,0,9,2,0.005173,
exact,hfvrp_n005_m03_s01,5,3,5.000000,42,350.283936,145.533835,1077.953113,1077.953113,267.549103,0.000000,1,1,optimal,30,251,8,0.021558,
exact,hfvrp_n005_m03_s02,5,3,5.000000,42,358.545666,176.381442,1240.452874,1240.452874,289.508762,0.000000,1,1,optimal,74,502,2,0.033278,
exact,hfvrp_n005_m03_s03,5,3,5.000000,42,444.734799,0.000000,444.734799,438.931910,325.638053,0.013048,1,1,optimal,0,224,3,0.043317,
exact,hfvrp_n005_m03_s04,5,3,5.000000,42,339.339311,259.367033,1636.174475,1636.174475,158.921111,0.000000,1,1,optimal,147,629,6,0.041207,
exact,hfvrp_n005_m03_s05,5,3,5.000000,42,384.694704,176.850818,1268.948794,1268.948794,301.150444,0.000000,1,1,optimal,156,1073,6,0.085249,
exact,hfvrp_n010_m03_s01,10,3,5.000000,42,515.549909,271.386050,1872.480157,1872.480157,315.594584,0.000000,1,1,optimal,1562,27754,7,4.041160,
exact,hfvrp_n010_m03_s02,10,3,5.000000,42,528.820236,418.059583,2619.118152,2619.118152,309.276307,0.000000,1,1,optimal,7183,101909,6,9.816480,
exact,hfvrp_n010_m03_s03,10,3,5.000000,42,671.729893,464.793331,2995.696549,2995.696549,425.188513,0.000000,1,1,optimal,41073,446438,10,35.986933,
exact,hfvrp_n010_m03_s05,10,3,5.000000,42,666.416419,387.971147,2606.272153,2606.272153,340.923866,0.000000,1,1,optimal,54078,616361,16,42.912592,
exact,hfvrp_n010_m03_s04,10,3,5.000000,42,567.788112,393.900677,2537.291497,2537.290690,354.592371,0.000000,1,1,optimal,94630,1077351,17,85.009387,
exact,hfvrp_n015_m03_s01,15,3,5.000000,42,642.387619,1031.157032,5798.172779,5798.167454,418.056740,0.000001,1,1,optimal,6236622,72253889,32,10044.712101,
exact,hfvrp_n015_m03_s02,15,3,5.000000,42,660.151480,959.052359,5455.413277,4500.886448,369.693351,0.174969,0,1,time_limit,9428785,123699343,32,18000.000758,
exact,hfvrp_n015_m03_s03,15,3,5.000000,42,609.654174,494.282369,3081.066020,2493.769887,336.962556,0.190615,0,1,time_limit,8952354,148289268,36,18000.000828,
exact,hfvrp_n015_m03_s04,15,3,5.000000,42,770.280294,1867.302944,10106.795014,6150.942057,403.518958,0.391405,0,1,time_limit,10188928,81984885,35,18000.001376,
exact,hfvrp_n015_m03_s05,15,3,5.000000,42,734.829145,644.075304,3955.205664,3876.311048,352.825609,0.019947,0,1,time_limit,9805520,157824182,23,18000.000857,
exact,hfvrp_n020_m04_s01,20,4,5.000000,42,821.716828,639.755085,4020.492255,3050.517798,484.079248,0.241258,0,1,time_limit,3313645,94717564,43,18000.003541,
exact,hfvrp_n020_m04_s02,20,4,5.000000,42,889.006872,762.481233,4701.413035,1508.260053,516.395425,0.679190,0,1,time_limit,3479616,149616544,42,18000.001450,
exact,hfvrp_n030_m06_s02,30,6,5.000000,42,1844.321017,1620.372078,9946.181407,2505.263853,701.312133,0.748118,0,1,mem_limit,868583,34269481,62,10955.676161,
exact,hfvrp_n020_m04_s03,20,4,5.000000,42,959.246613,1226.144133,7089.967279,2910.430536,462.677123,0.589500,0,1,time_limit,6161069,175111148,53,18000.001257,
exact,hfvrp_n020_m04_s04,20,4,5.000000,42,984.635846,1162.594850,6797.610095,2532.748387,507.487641,0.627406,0,1,time_limit,4388925,115715466,47,18000.003122,
exact,hfvrp_n020_m04_s05,20,4,5.000000,42,1073.948882,1030.236211,6225.129936,1589.634295,548.793994,0.744642,0,1,time_limit,5789039,177473100,60,18000.002247,
exact,hfvrp_n030_m06_s01,30,6,5.000000,42,1597.357158,1803.171820,10613.216256,3200.031074,682.168747,0.698486,0,1,time_limit,1840141,74949662,71,18000.003663,
exact,hfvrp_n030_m06_s03,30,6,5.000000,42,1701.953612,1097.710707,7190.507148,1643.572425,794.221151,0.771425,0,1,mem_limit,829092,37341998,76,8455.085651,
exact,hfvrp_n030_m06_s04,30,6,5.000000,42,1741.546008,1495.546664,9219.279328,2124.130216,854.868152,0.769599,0,1,mem_limit,714931,40442030,37,13625.459799,
exact,hfvrp_n030_m06_s05,30,6,5.000000,42,1623.516908,1097.821666,7112.625236,1960.797121,796.518999,0.724322,0,1,time_limit,1217751,58286039,77,18000.004044,
exact,hfvrp_n050_m10_s01,50,10,5.000000,42,4231.714872,4155.715344,25010.291592,2750.265083,1320.522719,0.890035,0,1,time_limit,69348,14934396,74,18000.021327,
exact,hfvrp_n050_m10_s02,50,10,5.000000,42,4597.469935,4685.869004,28026.814953,3051.185947,1286.560910,0.891133,0,1,time_limit,74675,17941572,77,18000.023020,
exact,hfvrp_n050_m10_s03,50,10,5.000000,42,4823.102902,4045.576051,25050.983157,2802.094433,1225.063023,0.888144,0,1,time_limit,137814,30399924,96,18000.041244,
exact,hfvrp_n050_m10_s04,50,10,5.000000,42,3873.060384,3663.612793,22191.124350,2610.240074,1252.731272,0.882375,0,1,time_limit,166069,28399332,101,18000.033372,
exact,hfvrp_n050_m10_s05,50,10,5.000000,42,4213.410622,3449.610926,21461.465252,2851.719202,1158.815585,0.867124,0,1,time_limit,127993,23630599,85,18000.030372,
exact,hfvrp_n075_m15_s01,75,15,5.000000,42,6993.643892,6434.950183,39168.394806,3122.937655,1825.311141,0.920269,0,1,time_limit,26412,5745825,48,18000.064587,
