method_a,method_b,n_instances,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct,mean_runtime_ratio_a_over_b
savings,tabu,73,0,60,13,93.3618,67.8964,0.0396
savings,ga,73,4,55,14,55.2874,30.2554,0.0006
tabu,savings,73,60,0,13,-35.8626,-40.4395,596.6339
tabu,ga,73,57,2,14,-15.1455,-15.5301,0.1819
ga,savings,73,55,4,14,-26.6789,-23.2278,11421.1925
ga,tabu,73,2,57,14,21.0164,18.3853,183.6506
