method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,117.1137,26.1283,0.0000,0.0000,0.0010,0.0002
exact,2,6,182.9823,61.8071,0.0000,0.0000,0.0055,0.0026
exact,3,2,134.7990,27.2010,0.0000,0.0000,0.0046,0.0033
exact,5,5,358.9474,52.7400,0.0000,0.0000,0.0614,0.0217
exact,10,5,504.5492,18.5743,0.0000,0.0000,0.8700,0.6859
exact,15,5,547.9524,41.7150,0.0000,0.0000,9.0576,5.6373
exact,20,5,665.0376,13.2981,0.0000,0.0000,58.6489,72.5741
exact,30,5,1135.8380,55.2246,0.0000,0.0000,15364.7569,5270.5234
exact,31,1,6114.9267,0.0000,0.0000,0.0000,15347.1244,0.0000
exact,36,1,5930.6340,0.0000,0.0000,0.0000,14998.3431,0.0000
exact,44,1,10158.2863,0.0000,0.0000,0.0000,18000.0090,0.0000
exact,50,5,1904.1869,84.8596,0.0000,0.0000,16360.4034,3279.2631
exact,53,1,12547.8285,0.0000,0.0000,0.0000,18000.0152,0.0000
exact,59,1,14288.4774,0.0000,0.0000,0.0000,18000.0731,0.0000
exact,75,5,4174.2427,197.8891,0.0000,0.0000,17151.6312,1696.9344
exact,79,1,17767.5135,0.0000,0.0000,0.0000,18000.1905,0.0000
exact,100,5,6127.1039,337.2146,0.0000,0.0000,18002.1550,3.7109
exact,109,1,2903651.1590,0.0000,0.0000,0.0000,18000.0598,0.0000
ga,1,240,117.1137,26.1283,0.0000,0.0000,0.2499,0.2971
ga,2,288,191.4915,73.0768,3.3880,7.4768,0.3247,0.3869
ga,3,96,134.7990,27.2010,0.0000,0.0000,0.3971,0.4743
ga,5,240,359.2114,52.7406,0.0736,0.1472,0.4917,0.5881
ga,10,240,532.6207,18.3213,5.7459,6.1647,0.7631,0.9145
ga,15,240,568.7168,37.3268,3.9023,2.8243,1.0168,1.2146
ga,20,240,692.6773,37.5092,4.1356,4.7872,1.3565,1.6252
ga,30,240,1266.4976,108.9086,11.4804,7.8075,2.0282,2.4317
ga,31,48,8279.3904,65.6174,35.3964,1.0731,2.1271,2.5520
ga,36,48,8196.3312,53.1041,38.2033,0.8954,2.4859,2.9885
ga,44,48,11538.0157,130.6187,13.5823,1.2858,3.1122,3.7439
ga,50,240,2273.5355,238.1759,19.4749,12.0829,3.4867,4.1895
ga,53,48,12597.0335,178.7097,0.3921,1.4242,3.8250,4.5943
ga,59,48,16052.1664,191.8683,12.3434,1.3428,4.3262,5.2048
ga,75,240,4729.0245,911.0797,13.6128,22.8637,5.7005,6.8557
ga,79,48,18146.2811,253.1401,2.1318,1.4247,5.9905,7.2183
ga,100,288,692978.9779,1540323.8273,19.0279,24.7627,7.9796,9.5928
ga,105,48,4209183.6981,455092.9391,,,8.1279,9.7400
ga,109,48,2577508.7730,461439.0023,-11.2321,15.8917,8.5454,10.2567
ga,119,48,3410064.6074,323358.2776,,,8.5923,10.2878
ga,150,240,14586.0019,3479.3701,,,14.2548,17.1380
ga,200,240,26726.2573,6905.8725,,,26.9320,32.3287
savings,1,5,117.1137,26.1283,0.0000,0.0000,0.0000,0.0000
savings,2,6,191.4915,73.0768,3.3880,7.4768,0.0000,0.0000
savings,3,2,134.7990,27.2010,0.0000,0.0000,0.0000,0.0000
savings,5,5,373.1099,50.3970,4.2510,4.0992,0.0000,0.0000
savings,10,5,527.7226,24.6045,4.6311,4.2346,0.0000,0.0000
savings,15,5,567.3544,35.8619,3.6583,2.3720,0.0000,0.0000
savings,20,5,722.9184,50.7471,8.6695,6.7490,0.0001,0.0000
savings,30,5,1251.4015,114.1532,10.0056,5.9505,0.0002,0.0001
savings,31,1,8223.4520,0.0000,34.4816,0.0000,0.0001,0.0000
savings,36,1,8059.6866,0.0000,35.8992,0.0000,0.0001,0.0000
savings,44,1,11334.4663,0.0000,11.5785,0.0000,0.0001,0.0000
savings,50,5,2141.8226,115.8111,12.4977,4.0607,0.0006,0.0003
savings,53,1,13240.4816,0.0000,5.5201,0.0000,0.0006,0.0000
savings,59,1,15054.0837,0.0000,5.3582,0.0000,0.0006,0.0000
savings,75,5,3725.6286,214.1871,-10.6934,4.1796,0.0012,0.0005
savings,79,1,17032.8842,0.0000,-4.1347,0.0000,0.0009,0.0000
savings,100,6,624938.7381,1385502.4263,-12.8074,6.7501,0.0021,0.0009
savings,105,1,4015189.1396,0.0000,,,0.0011,0.0000
savings,109,1,2236511.8628,0.0000,-22.9759,0.0000,0.0014,0.0000
savings,119,1,3185726.6363,0.0000,,,0.0015,0.0000
savings,150,5,9315.5473,240.8027,,,0.0117,0.0037
savings,200,5,15276.0454,601.7727,,,0.0164,0.0046
tabu,1,60,117.1137,26.1283,0.0000,0.0000,0.0002,0.0001
tabu,2,72,182.9823,61.8071,0.0000,0.0000,0.0004,0.0003
tabu,3,24,134.7990,27.2010,0.0000,0.0000,0.0001,0.0000
tabu,5,60,359.2114,52.7406,0.0736,0.1472,0.0011,0.0009
tabu,10,60,504.5492,18.5743,0.0000,0.0000,0.0052,0.0016
tabu,15,60,564.9646,35.2759,3.2249,2.2200,0.0077,0.0029
tabu,20,60,689.2041,34.5886,3.5914,3.6441,0.0152,0.0019
tabu,30,60,1187.2640,72.6181,4.5469,4.5727,0.0606,0.0120
tabu,31,12,8215.9863,0.0000,34.3595,0.0000,0.0764,0.0016
tabu,36,12,6886.7061,0.0000,16.1209,0.0000,0.2055,0.0015
tabu,44,12,11262.9047,0.0000,10.8741,0.0000,0.2096,0.0056
tabu,50,60,2048.5684,67.6787,7.6856,3.4448,0.2206,0.0198
tabu,53,12,12293.9364,0.0000,-2.0234,0.0000,0.3217,0.0025
tabu,59,12,14985.2187,0.0000,4.8762,0.0000,0.4637,0.0022
tabu,75,60,3609.6472,160.5498,-13.4280,3.7808,0.8682,0.0758
tabu,79,12,17017.1872,0.0000,-4.2230,0.0000,1.0418,0.0076
tabu,100,72,615505.3194,1364904.7167,-16.4478,5.7333,2.0878,0.6443
tabu,105,12,3714937.4003,0.0000,,,2.5467,0.0182
tabu,109,12,1896836.7371,0.0000,-34.6741,0.0000,2.4910,0.0413
tabu,119,12,3185726.6363,0.0000,,,1.8057,0.0382
tabu,150,60,9049.2414,301.3250,,,6.0942,0.2558
tabu,200,60,14894.4549,599.2034,,,19.1627,0.6121
