variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,452,13,265,-9.7191,-1.7763
BIG,MEDIUM,730,305,130,295,-1.1378,0.0000
BIG,SMALL,730,491,1,238,-14.9039,-4.9244
DEFAULT,BIG,730,13,452,265,13.1867,1.8084
DEFAULT,MEDIUM,730,26,432,272,11.5547,1.7856
DEFAULT,SMALL,730,434,39,257,-6.5260,-1.8735
MEDIUM,BIG,730,130,305,295,1.3092,0.0000
MEDIUM,DEFAULT,730,432,26,272,-8.7863,-1.7542
MEDIUM,SMALL,730,483,4,243,-14.1007,-4.1778
SMALL,BIG,730,1,491,238,23.4758,5.1794
SMALL,DEFAULT,730,39,434,257,7.9981,1.9093
SMALL,MEDIUM,730,4,483,243,21.5440,4.3599
