method,instance,runs,cost_mean,cost_std,runtime_mean
exact,augerat_A_n32_k5,1,6114.9267,0,15347.1244
exact,augerat_A_n37_k5,1,5930.6340,0,14998.3431
exact,augerat_A_n45_k6,1,10158.2863,0,18000.0090
exact,augerat_A_n54_k7,1,12547.8285,0,18000.0152
exact,augerat_A_n60_k9,1,14288.4774,0,18000.0731
exact,augerat_A_n80_k10,1,17767.5135,0,18000.1905
exact,ex1_1v_feasible,1,84.1421,0,0.0021
exact,ex3_3v_all_feasible,1,162.0000,0,0.0012
exact,ex5_3v_one_used_feasible,1,107.5980,0,0.0079
exact,hfvrp_n001_m03_s01,1,87.3350,0,0.0005
exact,hfvrp_n001_m03_s02,1,156.3106,0,0.0012
exact,hfvrp_n001_m03_s03,1,130.4387,0,0.0011
exact,hfvrp_n001_m03_s04,1,122.3868,0,0.0010
exact,hfvrp_n001_m03_s05,1,89.0975,0,0.0012
exact,hfvrp_n002_m03_s01,1,262.8529,0,0.0045
exact,hfvrp_n002_m03_s02,1,139.0332,0,0.0046
exact,hfvrp_n002_m03_s03,1,185.3092,0,0.0043
exact,hfvrp_n002_m03_s04,1,174.5520,0,0.0103
exact,hfvrp_n002_m03_s05,1,252.0042,0,0.0072
exact,hfvrp_n005_m03_s01,1,350.2839,0,0.0703
exact,hfvrp_n005_m03_s02,1,358.5457,0,0.0759
exact,hfvrp_n005_m03_s03,1,444.7348,0,0.0450
exact,hfvrp_n005_m03_s04,1,278.5763,0,0.0282
exact,hfvrp_n005_m03_s05,1,362.5965,0,0.0878
exact,hfvrp_n010_m03_s01,1,505.6986,0,0.7043
exact,hfvrp_n010_m03_s02,1,488.6666,0,0.5759
exact,hfvrp_n010_m03_s03,1,534.7267,0,0.2899
exact,hfvrp_n010_m03_s04,1,511.6846,0,2.2150
exact,hfvrp_n010_m03_s05,1,481.9693,0,0.5650
exact,hfvrp_n015_m03_s01,1,551.4606,0,4.4188
exact,hfvrp_n015_m03_s02,1,527.2330,0,4.9807
exact,hfvrp_n015_m03_s03,1,487.2319,0,15.0418
exact,hfvrp_n015_m03_s04,1,614.6260,0,16.7956
exact,hfvrp_n015_m03_s05,1,559.2105,0,4.0509
exact,hfvrp_n020_m04_s01,1,672.8087,0,200.7820
exact,hfvrp_n020_m04_s02,1,651.2784,0,32.6898
exact,hfvrp_n020_m04_s03,1,656.2417,0,43.9394
exact,hfvrp_n020_m04_s04,1,687.3934,0,14.8240
exact,hfvrp_n020_m04_s05,1,657.4655,0,1.0094
exact,hfvrp_n030_m06_s01,1,1197.5920,0,18000.0261
exact,hfvrp_n030_m06_s02,1,1040.3027,0,18000.0105
exact,hfvrp_n030_m06_s03,1,1178.8820,0,18000.0203
exact,hfvrp_n030_m06_s04,1,1116.8438,0,4823.7102
exact,hfvrp_n030_m06_s05,1,1145.5694,0,18000.0175
exact,hfvrp_n050_m10_s01,1,2045.7628,0,18000.0150
exact,hfvrp_n050_m10_s02,1,1928.8347,0,18000.0241
exact,hfvrp_n050_m10_s03,1,1799.7439,0,18000.0408
exact,hfvrp_n050_m10_s04,1,1837.6751,0,18000.0601
exact,hfvrp_n050_m10_s05,1,1908.9180,0,9801.8771
exact,hfvrp_n075_m15_s01,1,4180.7258,0,13757.7625
exact,hfvrp_n075_m15_s02,1,4381.0411,0,18000.0705
exact,hfvrp_n075_m15_s03,1,4174.8777,0,18000.1512
exact,hfvrp_n075_m15_s04,1,4322.3455,0,18000.0922
exact,hfvrp_n075_m15_s05,1,3812.2232,0,18000.0798
exact,hfvrp_n100_m20_s01,1,6405.4192,0,18000.2652
exact,hfvrp_n100_m20_s02,1,6435.5775,0,18000.3705
exact,hfvrp_n100_m20_s03,1,6355.8912,0,18009.5763
exact,hfvrp_n100_m20_s04,1,5645.0624,0,18000.3216
exact,hfvrp_n100_m20_s05,1,5793.5691,0,18000.2416
exact,pyvrp_X110_HD,1,2903651.1590,0,18000.0598
ga,augerat_A_n32_k5,48,8279.3904,65.6174,2.1271
