method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,mem_limit,0,6114.9267,8221.4916,8201.7145,2106.5649,2086.7878,34.4496,34.1261,6.3084
ga,BIG,augerat_A_n37_k5,36,mem_limit,0,5930.6340,8156.2186,8126.5188,2225.5846,2195.8848,37.5269,37.0261,7.3862
ga,BIG,augerat_A_n45_k6,44,time_limit,0,10158.2863,11424.1349,11351.3289,1265.8486,1193.0426,12.4612,11.7445,9.2532
ga,BIG,augerat_A_n54_k7,53,time_limit,0,12547.8285,12475.0804,12396.3067,-72.7481,-151.5218,-0.5798,-1.2076,11.3543
ga,BIG,augerat_A_n60_k9,59,time_limit,0,14288.4774,15895.2171,15805.7038,1606.7397,1517.2264,11.2450,10.6185,12.8622
ga,BIG,augerat_A_n80_k10,79,time_limit,0,17767.5135,17923.7594,17871.9412,156.2459,104.4277,0.8794,0.5877,17.8378
ga,BIG,ex1_1v_feasible,2,optimal,1,84.1421,84.1421,84.1421,0.0000,0.0000,0.0000,0.0000,0.9151
ga,BIG,ex3_3v_all_feasible,3,optimal,1,162.0000,162.0000,162.0000,0.0000,0.0000,0.0000,0.0000,1.1899
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,107.5980,107.5980,107.5980,0.0000,0.0000,0.0000,0.0000,1.1576
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,87.3350,87.3350,87.3350,0.0000,0.0000,0.0000,0.0000,0.7319
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,156.3106,156.3106,156.3106,0.0000,0.0000,0.0000,0.0000,0.7387
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7349
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7351
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,89.0975,89.0975,89.0975,0.0000,0.0000,0.0000,0.0000,0.7375
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,262.8529,262.8529,262.8529,0.0000,0.0000,0.0000,0.0000,0.9757
ga,BIG,hfvrp_n002_m03_s02,2,optimal,1,139.0332,139.0332,139.0332,0.0000,0.0000,0.0000,0.0000,0.9683
ga,BIG,hfvrp_n002_m03_s03,2,optimal,1,185.3092,185.3092,185.3092,0.0000,0.0000,0.0000,0.0000,0.9682
ga,BIG,hfvrp_n002_m03_s04,2,optimal,1,174.5520,174.9400,174.9400,0.3880,0.3880,0.2223,0.2223,0.9577
ga,BIG,hfvrp_n002_m03_s05,2,optimal,1,252.0042,302.6713,302.6713,50.6671,50.6671,20.1056,20.1056,0.9614
ga,BIG,hfvrp_n005_m03_s01,5,optimal,1,350.2839,350.2839,350.2839,0.0000,0.0000,0.0000,0.0000,1.4353
ga,BIG,hfvrp_n005_m03_s02,5,optimal,1,358.5457,359.8655,359.8655,1.3198,1.3198,0.3681,0.3681,1.4642
ga,BIG,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,1.4528
ga,BIG,hfvrp_n005_m03_s04,5,optimal,1,278.5763,278.5763,278.5763,0.0000,0.0000,0.0000,0.0000,1.4583
ga,BIG,hfvrp_n005_m03_s05,5,optimal,1,362.5965,362.5965,362.5965,0.0000,0.0000,0.0000,0.0000,1.4652
ga,BIG,hfvrp_n010_m03_s01,10,optimal,1,505.6986,522.4940,522.4940,16.7953,16.7953,3.3212,3.3212,2.2435
ga,BIG,hfvrp_n010_m03_s02,10,optimal,1,488.6666,525.3150,523.8019,36.6484,35.1353,7.4997,7.1900,2.2870
ga,BIG,hfvrp_n010_m03_s03,10,optimal,1,534.7267,536.2078,536.2078,1.4811,1.4811,0.2770,0.2770,2.2473
ga,BIG,hfvrp_n010_m03_s04,10,optimal,1,511.6846,515.8979,511.6846,4.2133,0.0000,0.8234,0.0000,2.2649
ga,BIG,hfvrp_n010_m03_s05,10,optimal,1,481.9693,540.4398,527.5920,58.4705,45.6227,12.1316,9.4659,2.2645
ga,BIG,hfvrp_n015_m03_s01,15,optimal,1,551.4606,572.3579,570.2301,20.8974,18.7695,3.7895,3.4036,3.0138
ga,BIG,hfvrp_n015_m03_s02,15,optimal,1,527.2330,536.1530,536.1530,8.9201,8.9201,1.6919,1.6919,3.0151
ga,BIG,hfvrp_n015_m03_s03,15,optimal,1,487.2319,516.4943,516.4943,29.2624,29.2624,6.0058,6.0058,2.9933
ga,BIG,hfvrp_n015_m03_s04,15,optimal,1,614.6260,614.6260,614.6260,0.0000,0.0000,0.0000,0.0000,2.9961
ga,BIG,hfvrp_n015_m03_s05,15,optimal,1,559.2105,589.4603,589.4603,30.2498,30.2498,5.4094,5.4094,3.0035
ga,BIG,hfvrp_n020_m04_s01,20,optimal,1,672.8087,674.4549,674.4549,1.6461,1.6461,0.2447,0.2447,3.9540
ga,BIG,hfvrp_n020_m04_s02,20,optimal,1,651.2784,667.3340,666.8930,16.0555,15.6145,2.4652,2.3975,3.9904
ga,BIG,hfvrp_n020_m04_s03,20,optimal,1,656.2417,656.2417,656.2417,0.0000,0.0000,0.0000,0.0000,4.1109
ga,BIG,hfvrp_n020_m04_s04,20,optimal,1,687.3934,721.7880,710.1763,34.3946,22.7829,5.0036,3.3144,4.0501
ga,BIG,hfvrp_n020_m04_s05,20,optimal,1,657.4655,662.5819,657.4655,5.1165,0.0000,0.7782,0.0000,3.9796
ga,BIG,hfvrp_n030_m06_s01,30,time_limit,0,1197.5920,1271.3983,1229.6385,73.8063,32.0465,6.1629,2.6759,6.0318
ga,BIG,hfvrp_n030_m06_s02,30,time_limit,0,1040.3027,1045.6311,1019.0000,5.3284,-21.3027,0.5122,-2.0477,6.0211
ga,BIG,hfvrp_n030_m06_s03,30,time_limit,0,1178.8820,1250.3120,1168.4875,71.4301,-10.3944,6.0591,-0.8817,5.9470
ga,BIG,hfvrp_n030_m06_s04,30,optimal,1,1116.8438,1269.1023,1193.1382,152.2585,76.2944,13.6329,6.8312,5.9831
ga,BIG,hfvrp_n030_m06_s05,30,time_limit,0,1145.5694,1198.0248,1144.1394,52.4554,-1.4300,4.5790,-0.1248,6.0722
ga,BIG,hfvrp_n050_m10_s01,50,time_limit,0,2045.7628,2122.7656,2091.5165,77.0028,45.7537,3.7640,2.2365,10.3651
ga,BIG,hfvrp_n050_m10_s02,50,time_limit,0,1928.8347,2159.0534,2071.0407,230.2186,142.2060,11.9356,7.3726,10.3059
ga,BIG,hfvrp_n050_m10_s03,50,time_limit,0,1799.7439,2006.0969,1942.0604,206.3531,142.3165,11.4657,7.9076,10.4197
ga,BIG,hfvrp_n050_m10_s04,50,time_limit,0,1837.6751,2028.0748,1966.6008,190.3997,128.9257,10.3609,7.0157,10.3799
ga,BIG,hfvrp_n050_m10_s05,50,mem_limit,0,1908.9180,2115.3037,2051.0955,206.3857,142.1775,10.8117,7.4481,10.3077
ga,BIG,hfvrp_n075_m15_s01,75,mem_limit,0,4180.7258,3570.7675,3486.0082,-609.9584,-694.7177,-14.5898,-16.6172,16.9663
ga,BIG,hfvrp_n075_m15_s02,75,time_limit,0,4381.0411,3857.6566,3693.6395,-523.3845,-687.4016,-11.9466,-15.6904,16.8789
ga,BIG,hfvrp_n075_m15_s03,75,time_limit,0,4174.8777,3969.0810,3834.9486,-205.7968,-339.9291,-4.9294,-8.1423,16.8608
ga,BIG,hfvrp_n075_m15_s04,75,time_limit,0,4322.3455,4095.5150,3958.9194,-226.8305,-363.4260,-5.2479,-8.4081,17.0387
ga,BIG,hfvrp_n075_m15_s05,75,time_limit,0,3812.2232,4116.2352,3736.5296,304.0120,-75.6936,7.9747,-1.9855,16.9763
ga,BIG,hfvrp_n100_m20_s01,100,time_limit,0,6405.4192,6135.9769,5747.2712,-269.4424,-658.1480,-4.2065,-10.2749,23.3513
ga,BIG,hfvrp_n100_m20_s02,100,time_limit,0,6435.5775,5556.6034,5346.9261,-878.9741,-1088.6514,-13.6580,-16.9161,23.3394
ga,BIG,hfvrp_n100_m20_s03,100,time_limit,0,6355.8912,6213.7876,5758.5562,-142.1036,-597.3350,-2.2358,-9.3981,23.2962
