method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
exact,ex1_1v_feasible,2,1,0.000000,42,84.142136,120.710678,84.142136,84.142136,78.556349,0.000000,1,1,optimal,0,0,1,0.002064,
exact,ex2_1v_infeasible,2,1,0.000000,42,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,infeasible,0,0,0,0.000506,
exact,ex3_3v_all_feasible,3,3,0.000000,42,162.000000,20.000000,162.000000,162.000000,154.363591,0.000000,1,1,optimal,0,0,1,0.001238,
exact,ex4_3v_infeasible,4,3,0.000000,42,0.000000,0.000000,0.000000,0.000000,169.094658,1.000000,0,0,infeasible,0,0,0,0.001163,
exact,hfvrp_n001_m03_s01,1,3,0.000000,42,87.334995,168.337487,87.334995,87.334995,87.334995,0.000000,1,1,optimal,0,0,1,0.000538,
exact,ex5_3v_one_used_feasible,3,3,0.000000,42,107.597980,120.710678,107.597980,107.597980,95.597980,0.000000,1,1,optimal,0,4,2,0.007890,
exact,hfvrp_n001_m03_s02,1,3,0.000000,42,156.310634,50.546098,156.310634,156.310634,156.310634,0.000000,1,1,optimal,0,0,1,0.001200,
exact,hfvrp_n001_m03_s03,1,3,0.000000,42,130.438737,0.000000,130.438737,130.438737,130.438737,0.000000,1,1,optimal,0,0,1,0.001092,
exact,hfvrp_n001_m03_s04,1,3,0.000000,42,122.386776,0.000000,122.386776,122.386776,122.386776,0.000000,1,1,optimal,0,0,1,0.000965,
exact,hfvrp_n001_m03_s05,1,3,0.000000,42,89.097550,34.548775,89.097550,89.097550,89.097550,0.000000,1,1,optimal,0,0,1,0.001218,
exact,hfvrp_n002_m03_s01,2,3,0.000000,42,262.852855,468.007587,262.852855,262.852855,248.921213,0.000000,1,1,optimal,0,0,2,0.004474,
exact,hfvrp_n002_m03_s02,2,3,0.000000,42,139.033247,77.690105,139.033247,139.033247,130.817821,0.000000,1,1,optimal,0,13,2,0.004587,
exact,hfvrp_n002_m03_s03,2,3,0.000000,42,185.309216,25.338303,185.309216,185.309216,155.417444,0.000000,1,1,optimal,0,0,2,0.004349,
exact,hfvrp_n002_m03_s04,2,3,0.000000,42,174.552021,35.445494,174.552021,174.552021,142.481649,0.000000,1,1,optimal,0,16,3,0.010293,
exact,hfvrp_n002_m03_s05,2,3,0.000000,42,252.004246,183.153460,252.004246,252.004246,216.906774,0.000000,1,1,optimal,0,7,2,0.007178,
exact,hfvrp_n005_m03_s01,5,3,0.000000,42,350.283936,145.533835,350.283936,350.283936,267.549103,0.000000,1,1,optimal,0,216,3,0.070269,
exact,hfvrp_n005_m03_s02,5,3,0.000000,42,358.545666,409.572622,358.545666,358.545666,289.399443,0.000000,1,1,optimal,3,153,5,0.075909,
exact,hfvrp_n005_m03_s03,5,3,0.000000,42,444.734799,0.000000,444.734799,438.931910,325.638053,0.013048,1,1,optimal,0,224,3,0.044991,
exact,hfvrp_n005_m03_s04,5,3,0.000000,42,278.576281,536.399627,278.576281,278.576281,158.921111,0.000000,1,1,optimal,0,75,3,0.028184,
exact,hfvrp_n005_m03_s05,5,3,0.000000,42,362.596536,521.792290,362.596536,362.596536,301.066386,0.000000,1,1,optimal,5,547,3,0.087753,
exact,hfvrp_n010_m03_s01,10,3,0.000000,42,505.698641,331.824464,505.698641,505.698641,315.594584,0.000000,1,1,optimal,851,7589,7,0.704260,
exact,hfvrp_n010_m03_s02,10,3,0.000000,42,488.666606,1314.253516,488.666606,488.666606,309.276307,0.000000,1,1,optimal,481,4332,6,0.575860,
exact,hfvrp_n010_m03_s03,10,3,0.000000,42,534.726709,782.169152,534.726709,534.726709,425.181306,0.000000,1,1,optimal,304,3576,7,0.289926,
exact,hfvrp_n010_m03_s04,10,3,0.000000,42,511.684614,1086.531255,511.684614,511.684614,354.550237,0.000000,1,1,optimal,2960,21630,10,2.215001,
exact,hfvrp_n010_m03_s05,10,3,0.000000,42,481.969273,679.701474,481.969273,481.969273,340.923866,0.000000,1,1,optimal,7,1252,2,0.564970,
exact,hfvrp_n015_m03_s01,15,3,0.000000,42,551.460560,3232.814793,551.460560,551.460560,418.052879,0.000000,1,1,optimal,1846,27479,9,4.418770,
exact,hfvrp_n015_m03_s02,15,3,0.000000,42,527.232952,2252.246250,527.232952,527.232952,369.693351,0.000000,1,1,optimal,1286,17988,8,4.980686,
exact,hfvrp_n015_m03_s03,15,3,0.000000,42,487.231918,884.578507,487.231918,487.231918,336.962556,0.000000,1,1,optimal,5278,75217,4,15.041838,
exact,hfvrp_n015_m03_s05,15,3,0.000000,42,559.210526,1303.873819,559.210526,559.210526,352.825609,0.000000,1,1,optimal,1936,24492,9,4.050897,
exact,hfvrp_n015_m03_s04,15,3,0.000000,42,614.626038,4323.337407,614.626038,614.626038,403.516128,0.000000,1,1,optimal,3446,44541,10,16.795573,
exact,hfvrp_n020_m04_s02,20,4,0.000000,42,651.278443,2542.985226,651.278443,651.278443,516.395425,0.000000,1,1,optimal,9356,191139,16,32.689780,
exact,hfvrp_n020_m04_s04,20,4,0.000000,42,687.393426,3672.066457,687.393426,687.393426,507.487379,0.000000,1,1,optimal,4003,76072,5,14.824018,
exact,hfvrp_n020_m04_s03,20,4,0.000000,42,656.241709,3962.112492,656.241709,656.241603,462.670851,0.000000,1,1,optimal,7388,134258,7,43.939376,
exact,hfvrp_n020_m04_s05,20,4,0.000000,42,657.465461,2969.518201,657.465461,657.465461,548.790819,0.000000,1,1,optimal,405,8982,5,1.009389,
exact,hfvrp_n020_m04_s01,20,4,0.000000,42,672.808731,2824.451890,672.808731,672.808731,484.071796,0.000000,1,1,optimal,26680,515851,10,200.782021,
exact,hfvrp_n030_m06_s04,30,6,0.000000,42,1116.843806,2566.496406,1116.843806,1116.843352,854.868152,0.000000,1,1,optimal,220661,8847962,29,4823.710171,
