method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,-0.0000,0.0000,174351.8249
tabu,2,73,0.0000,0.0000,174351.8249
tabu,3,73,0.0000,0.0000,174351.8249
tabu,4,73,-0.0000,0.0000,174351.8249
tabu,5,73,-0.0000,0.0000,174351.8249
tabu,6,73,-0.0000,0.0000,174351.8249
tabu,7,73,-0.0000,0.0000,174351.8249
tabu,8,73,-0.0000,0.0000,174351.8249
tabu,9,73,-0.0000,0.0000,174351.8249
tabu,10,73,0.0000,0.0000,174351.8249
tabu,11,73,-0.0000,0.0000,174351.8249
tabu,12,73,0.0000,0.0000,174351.8249
ga,1,73,12.9634,4.6056,201234.4794
ga,2,73,6.9216,2.4951,188280.1104
ga,3,73,4.4634,1.4318,183041.1464
ga,4,73,3.2589,0.8587,180509.1159
ga,5,73,2.5896,0.5624,179122.6521
ga,6,73,2.1748,0.4656,178277.0812
ga,7,73,1.8914,0.4138,177708.3523
ga,8,73,1.6812,0.2990,177291.8004
ga,9,73,1.5152,0.2160,176965.1464
ga,10,73,1.3779,0.1849,176695.7172
ga,11,73,1.2607,0.1666,176465.4761
ga,12,73,1.1584,0.1560,176263.8784
ga,13,73,1.0680,0.1476,176084.3600
ga,14,73,0.9869,0.1397,175922.5689
ga,15,73,0.9138,0.1323,175775.4479
ga,16,73,0.8473,0.1254,175640.7437
ga,17,73,0.7864,0.1188,175516.7305
ga,18,73,0.7306,0.1125,175402.0477
ga,19,73,0.6791,0.1066,175295.5982
ga,20,73,0.6314,0.1009,175196.4819
ga,21,73,0.5871,0.0954,175103.9501
ga,22,73,0.5459,0.0834,175017.3726
ga,23,73,0.5074,0.0759,174936.2138
ga,24,73,0.4714,0.0716,174860.0141
ga,25,73,0.4376,0.0674,174788.3761
ga,26,73,0.4059,0.0634,174720.9531
ga,27,73,0.3760,0.0595,174657.4408
ga,28,73,0.3479,0.0558,174597.5696
ga,29,73,0.3213,0.0522,174541.0996
ga,30,73,0.2962,0.0487,174487.8149
ga,31,73,0.2723,0.0412,174437.5206
ga,32,73,0.2497,0.0308,174390.0395
ga,33,73,0.2283,0.0251,174345.2089
ga,34,73,0.2079,0.0227,174302.8792
ga,35,73,0.1884,0.0205,174262.9116
ga,36,73,0.1699,0.0184,174225.1770
ga,37,73,0.1522,0.0165,174189.5541
ga,38,73,0.1353,0.0146,174155.9292
ga,39,73,0.1191,0.0128,174124.1945
ga,40,73,0.1036,0.0112,174094.2480
ga,41,73,0.0888,0.0096,174065.9925
ga,42,73,0.0745,0.0068,174039.3348
ga,43,73,0.0609,0.0034,174014.1859
ga,44,73,0.0477,0.0014,173990.4598
ga,45,73,0.0351,0.0003,173968.0737
ga,46,73,0.0230,0.0000,173946.9472
ga,47,73,0.0113,0.0000,173927.0025
ga,48,73,0.0000,0.0000,173908.1635
