variant,runs,instances_covered,cost_mean,cost_std,runtime_mean,runtime_std
BIG,876,73,179726.0768,744957.7609,15.4125,20.9083
DEFAULT,876,73,208474.8403,855406.1316,0.2533,0.3449
MEDIUM,876,73,182501.8639,756163.9393,5.0759,6.8908
SMALL,876,73,234235.1365,957396.3307,0.0338,0.0445
