method,instance,runs,cost_mean,cost_std,runtime_mean
ga,hfvrp_n010_m03_s04,48,694.2957,0.0000,0.7414
ga,hfvrp_n010_m03_s05,48,767.4121,78.6823,0.7575
ga,hfvrp_n015_m03_s01,48,1179.8106,55.5238,0.9968
ga,hfvrp_n015_m03_s02,48,1091.7086,32.2402,1.0050
ga,hfvrp_n015_m03_s03,48,762.8748,15.4689,1.0038
ga,hfvrp_n015_m03_s04,48,1696.3213,5.9020,1.0023
ga,hfvrp_n015_m03_s05,48,926.4468,4.0439,1.0018
ga,hfvrp_n020_m04_s01,48,1112.3407,62.0852,1.3276
ga,hfvrp_n020_m04_s02,48,1096.6649,38.4604,1.3300
ga,hfvrp_n020_m04_s03,48,1409.1262,36.3409,1.3154
ga,hfvrp_n020_m04_s04,48,1410.0441,80.7892,1.3157
ga,hfvrp_n020_m04_s05,48,1322.6992,73.0280,1.3182
ga,hfvrp_n030_m06_s01,48,2337.3937,200.4822,2.0295
ga,hfvrp_n030_m06_s02,48,2101.8440,116.6853,2.0048
ga,hfvrp_n030_m06_s03,48,2006.2787,168.0171,1.9729
ga,hfvrp_n030_m06_s04,48,1991.4213,283.3664,2.0297
ga,hfvrp_n030_m06_s05,48,2008.0701,278.4534,2.0052
ga,hfvrp_n050_m10_s01,48,4589.6427,685.2825,3.4856
ga,hfvrp_n050_m10_s02,48,5546.4698,931.8425,3.4840
ga,hfvrp_n050_m10_s03,48,4902.7023,842.1983,3.4832
ga,hfvrp_n050_m10_s04,48,4880.9935,742.9438,3.4776
ga,hfvrp_n050_m10_s05,48,5015.9543,740.2791,3.4574
ga,hfvrp_n075_m15_s01,48,7000.9347,1636.9902,5.6532
ga,hfvrp_n075_m15_s02,48,9041.2822,2143.6635,5.6805
ga,hfvrp_n075_m15_s03,48,9213.5321,2114.6311,5.6717
ga,hfvrp_n075_m15_s04,48,9116.9391,2333.0972,5.7067
ga,hfvrp_n075_m15_s05,48,8155.3865,1643.4929,5.6653
ga,hfvrp_n100_m20_s01,48,14530.9480,3603.1294,7.9193
ga,hfvrp_n100_m20_s02,48,13882.9370,3999.6706,7.8593
ga,hfvrp_n100_m20_s03,48,13768.1638,3746.5094,7.8811
ga,hfvrp_n100_m20_s04,48,13820.9492,3913.4360,7.9105
ga,hfvrp_n100_m20_s05,48,14186.8004,4222.4029,7.8804
ga,hfvrp_n150_m30_s01,48,27647.9731,9071.8680,14.6303
ga,hfvrp_n150_m30_s02,48,26053.3707,8587.5323,14.5294
ga,hfvrp_n150_m30_s03,48,28488.1487,8834.9940,14.4404
ga,hfvrp_n150_m30_s04,48,29941.6365,10050.4577,14.8102
ga,hfvrp_n150_m30_s05,48,24869.0344,7804.5041,14.3056
ga,hfvrp_n200_m40_s01,48,46198.4922,16924.2695,26.8483
ga,hfvrp_n200_m40_s02,48,43346.3640,15239.1827,26.5949
ga,hfvrp_n200_m40_s03,48,49015.6231,17816.4039,26.3973
ga,hfvrp_n200_m40_s04,48,44688.3502,14627.4624,26.6471
ga,hfvrp_n200_m40_s05,48,45448.7571,16275.8525,26.5049
ga,pyvrp_X101_FSMFD,48,4180039.9160,381965.6970,8.5079
ga,pyvrp_X106_FSMD,48,4216557.9216,466571.4541,8.1075
ga,pyvrp_X110_HD,48,2520846.2693,469511.9027,8.5227
ga,pyvrp_X115_HVRP,4,2316586.1507,37844.5471,24.1196
ga,pyvrp_X120_FSMF,48,3431215.4706,313001.9400,8.5540
savings,augerat_A_n32_k5,1,8693.1500,0,0.0002
savings,augerat_A_n37_k5,1,8352.3226,0,0.0001
savings,augerat_A_n45_k6,1,11620.9706,0,0.0002
savings,augerat_A_n54_k7,1,13951.4930,0,0.0004
savings,augerat_A_n60_k9,1,15733.5647,0,0.0005
savings,augerat_A_n80_k10,1,18339.4408,0,0.0011
savings,ex1_1v_feasible,1,96.6421,0,0.0000
savings,ex3_3v_all_feasible,1,167.0000,0,0.0000
savings,ex5_3v_one_used_feasible,1,128.2990,0,0.0000
savings,hfvrp_n001_m03_s01,1,129.4194,0,0.0000
savings,hfvrp_n001_m03_s02,1,168.9472,0,0.0000
savings,hfvrp_n001_m03_s03,1,130.4387,0,0.0000
savings,hfvrp_n001_m03_s04,1,122.3868,0,0.0000
savings,hfvrp_n001_m03_s05,1,97.7347,0,0.0000
savings,hfvrp_n002_m03_s01,1,379.8548,0,0.0000
savings,hfvrp_n002_m03_s02,1,149.3690,0,0.0000
savings,hfvrp_n002_m03_s03,1,191.6438,0,0.0000
savings,hfvrp_n002_m03_s04,1,183.8014,0,0.0000
savings,hfvrp_n002_m03_s05,1,381.7497,0,0.0000
savings,hfvrp_n005_m03_s01,1,386.6674,0,0.0000
savings,hfvrp_n005_m03_s02,1,433.5826,0,0.0000
savings,hfvrp_n005_m03_s03,1,461.8449,0,0.0000
savings,hfvrp_n005_m03_s04,1,395.5390,0,0.0000
savings,hfvrp_n005_m03_s05,1,485.0128,0,0.0000
