method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
exact,ex2_1v_infeasible,2,1,0.250000,42,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,infeasible,0,0,0,0.000421,
exact,ex1_1v_feasible,2,1,0.250000,42,84.142136,50.000000,96.642136,96.642136,78.556349,0.000000,1,1,optimal,0,2,2,0.004964,
exact,ex3_3v_all_feasible,3,3,0.250000,42,162.000000,20.000000,167.000000,167.000000,154.363591,0.000000,1,1,optimal,0,0,1,0.000653,
exact,ex4_3v_infeasible,4,3,0.250000,42,0.000000,0.000000,0.000000,0.000000,169.094658,1.000000,0,0,infeasible,0,0,0,0.000953,
exact,ex5_3v_one_used_feasible,3,3,0.250000,42,115.798990,50.000000,128.298990,128.298990,95.597980,0.000000,1,1,optimal,0,4,3,0.005577,
exact,hfvrp_n001_m03_s01,1,3,0.250000,42,87.334995,168.337487,129.419366,129.419366,129.419366,0.000000,1,1,optimal,0,0,1,0.000603,
exact,hfvrp_n001_m03_s02,1,3,0.250000,42,156.310634,50.546098,168.947159,168.947159,168.947159,0.000000,1,1,optimal,0,0,1,0.000881,
exact,hfvrp_n001_m03_s03,1,3,0.250000,42,130.438737,0.000000,130.438737,130.438737,130.438737,0.000000,1,1,optimal,0,0,1,0.000635,
exact,hfvrp_n001_m03_s04,1,3,0.250000,42,122.386776,0.000000,122.386776,122.386776,122.386776,0.000000,1,1,optimal,0,0,1,0.000659,
exact,hfvrp_n001_m03_s05,1,3,0.250000,42,89.097550,34.548775,97.734744,97.734744,97.734744,0.000000,1,1,optimal,0,0,1,0.000959,
exact,hfvrp_n002_m03_s01,2,3,0.250000,42,262.852855,468.007587,379.854751,379.854751,258.097137,0.000000,1,1,optimal,0,0,3,0.005078,
exact,hfvrp_n002_m03_s02,2,3,0.250000,42,139.033247,41.343143,149.369033,149.369033,130.817821,0.000000,1,1,optimal,0,12,3,0.006919,
exact,hfvrp_n002_m03_s03,2,3,0.250000,42,185.309216,25.338303,191.643792,191.643792,155.417444,0.000000,1,1,optimal,0,0,3,0.004920,
exact,hfvrp_n002_m03_s04,2,3,0.250000,42,174.552021,35.445494,183.413394,183.413394,142.481649,0.000000,1,1,optimal,0,18,3,0.006143,
exact,hfvrp_n002_m03_s05,2,3,0.250000,42,252.004246,183.153460,297.792611,297.792611,216.906774,0.000000,1,1,optimal,0,9,2,0.005235,
exact,hfvrp_n005_m03_s01,5,3,0.250000,42,350.283936,145.533835,386.667395,386.667395,267.549103,0.000000,1,1,optimal,51,322,4,0.035475,
exact,hfvrp_n005_m03_s02,5,3,0.250000,42,358.545666,176.381442,402.641026,402.641026,289.508762,0.000000,1,1,optimal,27,303,4,0.040136,
exact,hfvrp_n005_m03_s03,5,3,0.250000,42,444.734799,0.000000,444.734799,438.931910,325.638053,0.013048,1,1,optimal,0,224,3,0.044805,
exact,hfvrp_n005_m03_s04,5,3,0.250000,42,278.576281,287.478473,350.445899,350.445899,158.921111,0.000000,1,1,optimal,42,476,6,0.051296,
exact,hfvrp_n005_m03_s05,5,3,0.250000,42,384.694704,176.850818,428.907408,428.907408,301.150444,0.000000,1,1,optimal,103,963,6,0.083010,
exact,hfvrp_n010_m03_s01,10,3,0.250000,42,515.549909,271.386050,583.396421,583.396421,315.594584,0.000000,1,1,optimal,2661,31185,8,3.047266,
exact,hfvrp_n010_m03_s02,10,3,0.250000,42,502.636366,474.233046,621.194627,621.194627,309.276307,0.000000,1,1,optimal,6006,56430,8,5.306027,
exact,hfvrp_n010_m03_s05,10,3,0.250000,42,481.969273,655.167646,645.761184,645.761184,340.923866,0.000000,1,1,optimal,8018,80195,7,7.997040,
exact,hfvrp_n010_m03_s03,10,3,0.250000,42,534.726709,763.645230,725.638017,725.638017,425.188513,0.000000,1,1,optimal,13329,160612,10,12.728432,
exact,hfvrp_n010_m03_s04,10,3,0.250000,42,519.712457,544.076456,655.731571,655.731571,354.592371,0.000000,1,1,optimal,25759,258940,9,21.406620,
exact,hfvrp_n015_m03_s05,15,3,0.250000,42,611.521308,824.122147,817.551845,817.551845,352.825609,0.000000,1,1,optimal,63529,1090318,15,96.315818,
exact,hfvrp_n015_m03_s03,15,3,0.250000,42,532.035526,524.156405,663.074628,663.074050,336.962556,0.000001,1,1,optimal,575555,11486545,17,1155.101008,
exact,hfvrp_n015_m03_s01,15,3,0.250000,42,637.317432,1035.172168,896.110474,896.110016,418.056740,0.000001,1,1,optimal,1037528,16392124,18,2163.459557,
exact,hfvrp_n015_m03_s02,15,3,0.250000,42,646.982376,970.324017,889.563381,889.562566,369.693351,0.000001,1,1,optimal,2610680,46173308,18,6104.902247,
exact,hfvrp_n015_m03_s04,15,3,0.250000,42,669.449634,1981.675868,1164.868602,1087.366187,403.518958,0.066522,0,1,time_limit,7370741,105658442,22,18000.003101,
exact,hfvrp_n020_m04_s01,20,4,0.250000,42,817.730053,645.557639,979.119463,836.391444,484.079248,0.145772,0,1,time_limit,3317608,85390753,38,18000.001516,
exact,hfvrp_n020_m04_s02,20,4,0.250000,42,743.328099,964.107820,984.355054,836.401676,516.395425,0.150305,0,1,time_limit,2978221,95388823,25,18000.002136,
exact,hfvrp_n020_m04_s03,20,4,0.250000,42,807.832543,1402.307622,1158.409449,882.160081,462.677123,0.238472,0,1,time_limit,3518527,89140376,40,18000.006055,
exact,hfvrp_n020_m04_s04,20,4,0.250000,42,753.478494,1458.607803,1118.130445,884.249816,507.487641,0.209171,0,1,time_limit,4193485,82649004,51,18000.004815,
exact,hfvrp_n020_m04_s05,20,4,0.250000,42,668.580752,1742.307836,1104.157711,880.583609,548.793994,0.202484,0,1,time_limit,3672981,86040539,21,18000.002483,
exact,hfvrp_n030_m06_s02,30,6,0.250000,42,1171.447703,2286.767833,1743.139661,1029.933786,701.312133,0.409150,0,1,mem_limit,958192,23561888,30,8564.494474,
exact,hfvrp_n030_m06_s04,30,6,0.250000,42,1269.376554,1693.320065,1692.706570,1167.075902,854.868152,0.310527,0,1,mem_limit,768757,28430792,30,7535.044238,
exact,hfvrp_n030_m06_s01,30,6,0.250000,42,1399.184149,2519.040033,2028.944157,1112.603740,682.168747,0.451634,0,1,mem_limit,912482,26526282,46,10148.409423,
exact,hfvrp_n030_m06_s03,30,6,0.250000,42,1260.289872,1684.702485,1681.465494,1130.078023,794.221151,0.327921,0,1,time_limit,1299970,53535603,43,18000.003444,
exact,hfvrp_n050_m10_s01,50,10,0.250000,42,2225.159535,6227.316461,3781.988650,1884.685101,1320.522719,0.501668,0,1,mem_limit,277310,16645974,65,12339.317335,
exact,hfvrp_n030_m06_s05,30,6,0.250000,42,1305.148426,1495.412249,1679.001488,1119.868244,796.518999,0.333015,0,1,time_limit,1090530,52778474,55,18000.003731,
exact,hfvrp_n050_m10_s02,50,10,0.250000,42,2383.903068,8907.815031,4610.856826,1725.336785,1286.560910,0.625810,0,1,mem_limit,259451,16475356,56,11671.702787,
exact,hfvrp_n050_m10_s04,50,10,0.250000,42,2125.572676,5510.433819,3503.181131,1695.313811,1252.731272,0.516064,0,1,mem_limit,271701,20976095,97,14512.631358,
exact,hfvrp_n050_m10_s03,50,10,0.250000,42,2319.694574,4945.107745,3555.971511,1667.963290,1225.063023,0.530940,0,1,time_limit,218581,13639308,73,18000.025291,
exact,hfvrp_n050_m10_s05,50,10,0.250000,42,2442.140947,7862.656837,4407.805157,1795.795530,1158.815585,0.592587,0,1,mem_limit,265211,14472088,51,11460.408324,
exact,hfvrp_n075_m15_s01,75,15,0.250000,42,4298.959120,8255.565350,6362.850457,2476.192087,1825.311141,0.610836,0,1,mem_limit,80967,6088699,72,14398.489842,
exact,hfvrp_n075_m15_s02,75,15,0.250000,42,0.000000,0.000000,0.000000,2787.225487,2092.227672,1.000000,0,0,no_solution,39242,4158816,0,18000.009658,
exact,hfvrp_n075_m15_s03,75,15,0.250000,42,5329.791874,12884.346462,8550.878489,2920.516117,2155.929751,0.658454,0,1,time_limit,49018,3578058,62,18000.071581,
exact,hfvrp_n075_m15_s04,75,15,0.250000,42,4792.380180,10081.048562,7312.642321,2689.765958,2071.372250,0.632176,0,1,mem_limit,80427,7191825,66,16137.800078,
exact,hfvrp_n075_m15_s05,75,15,0.250000,42,4581.415565,16348.765144,8668.606851,2769.327953,2159.027377,0.680534,0,1,time_limit,72840,6680912,30,18000.044697,
exact,hfvrp_n100_m20_s01,100,20,0.250000,42,0.000000,0.000000,0.000000,3789.225488,2957.348607,1.000000,0,0,no_solution,7774,819818,0,18000.049205,
exact,hfvrp_n100_m20_s02,100,20,0.250000,42,0.000000,0.000000,0.000000,3485.445002,2752.884228,1.000000,0,0,no_solution,11300,1188235,0,18000.027137,
exact,hfvrp_n100_m20_s03,100,20,0.250000,42,7045.997812,24177.039685,13090.257733,3686.950273,2856.661782,0.718344,0,1,time_limit,30422,2669441,43,18000.128302,
exact,hfvrp_n100_m20_s04,100,20,0.250000,42,6289.005717,20759.955792,11478.994665,3848.408378,3002.353415,0.664743,0,1,time_limit,21718,2349645,44,18000.143834,
exact,hfvrp_n100_m20_s05,100,20,0.250000,42,7684.074407,20212.598940,12737.224141,3512.650716,2774.994506,0.724222,0,1,time_limit,22130,1888494,38,18000.129027,
exact,hfvrp_n150_m30_s01,150,30,0.250000,42,0.000000,0.000000,0.000000,6477.632632,5147.309259,1.000000,0,0,no_solution,2016,342793,0,18000.158919,
exact,hfvrp_n150_m30_s02,150,30,0.250000,42,0.000000,0.000000,0.000000,6385.385526,4935.867158,1.000000,0,0,no_solution,3528,546613,0,18000.225903,
exact,hfvrp_n150_m30_s03,150,30,0.250000,42,0.000000,0.000000,0.000000,6366.775142,5269.518578,1.000000,0,0,no_solution,1512,425908,0,18000.257144,
exact,hfvrp_n150_m30_s04,150,30,0.250000,42,17579.593766,83431.069528,38437.361148,6423.718427,5229.400932,0.834772,0,0,time_limit,4116,856907,1,18000.312672,
exact,hfvrp_n150_m30_s05,150,30,0.250000,42,0.000000,0.000000,0.000000,6432.927327,5117.686791,1.000000,0,0,no_solution,2016,350360,0,18000.148476,
exact,hfvrp_n200_m40_s01,200,40,0.250000,42,7454.998565,2000.766716,7955.190243,10094.165908,8695.742805,0.258332,0,0,time_limit,918,377850,1,18000.632494,
exact,hfvrp_n200_m40_s02,200,40,0.250000,42,8139.016117,3783.108194,9084.793165,10362.415431,8762.069592,0.283324,0,0,time_limit,1018,382693,1,18000.706535,
exact,hfvrp_n200_m40_s03,200,40,0.250000,42,8893.073231,5533.014389,10276.326828,10192.548389,8494.383172,0.336863,0,0,time_limit,918,427289,1,18000.232372,
exact,augerat_A_n32_k5,31,8,0.250000,42,6311.677130,1810.980971,6764.422372,5645.658484,5557.793975,0.165389,0,1,mem_limit,878040,28319085,45,13963.188369,
exact,hfvrp_n200_m40_s04,200,40,0.250000,42,10208.505737,5071.404271,11476.356805,10079.127043,8618.328821,0.400580,0,0,time_limit,918,483197,1,18000.237376,
exact,hfvrp_n200_m40_s05,200,40,0.250000,42,10216.491439,10762.407808,12907.093391,10074.014599,8496.529150,0.441571,0,0,time_limit,1230,487267,1,18000.351081,
exact,augerat_A_n45_k6,44,8,0.250000,42,10430.843587,996.372498,10679.936711,9932.653866,8817.923568,0.069971,0,1,mem_limit,418298,28747023,68,13327.902193,
exact,augerat_A_n37_k5,36,8,0.250000,42,5940.491568,1139.079618,6225.261472,5633.440370,5474.595385,0.095068,0,1,time_limit,516495,27131661,40,18000.005008,
exact,augerat_A_n54_k7,53,8,0.250000,42,11972.965733,3151.337019,12760.799988,10983.583641,10321.271985,0.139272,0,1,time_limit,250369,24685929,59,18000.027712,
exact,augerat_A_n60_k9,59,10,0.250000,42,14402.330970,2745.880103,15088.800995,13190.120888,12829.634497,0.125834,0,1,time_limit,103514,9987148,58,18000.049708,
