method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,-0.0000,0.0000,176625.0049
tabu,2,73,0.0000,0.0000,176625.0049
tabu,3,73,-0.0000,0.0000,176625.0049
tabu,4,73,-0.0000,0.0000,176625.0049
tabu,5,73,-0.0000,0.0000,176625.0049
tabu,6,73,0.0000,0.0000,176625.0049
tabu,7,73,0.0000,0.0000,176625.0049
tabu,8,73,-0.0000,0.0000,176625.0049
tabu,9,73,-0.0000,0.0000,176625.0049
tabu,10,73,0.0000,0.0000,176625.0049
tabu,11,73,-0.0000,0.0000,176625.0049
tabu,12,73,0.0000,0.0000,176625.0049
ga,1,74,17.3502,7.2380,233485.5950
ga,2,74,8.6039,2.5955,219419.7485
ga,3,74,5.2486,1.4283,213627.4451
ga,4,74,3.6851,0.9745,210706.0916
ga,5,73,2.9032,0.7393,181236.4343
ga,6,73,2.4113,0.6640,180324.6910
ga,7,73,2.0898,0.6045,179708.2694
ga,8,73,1.8599,0.5551,179253.1580
ga,9,73,1.6831,0.5126,178892.7147
ga,10,73,1.5395,0.4754,178592.3287
ga,11,73,1.4181,0.4423,178333.1546
ga,12,73,1.3128,0.4125,178104.3269
ga,13,73,1.2195,0.3855,177899.1483
ga,14,73,1.1359,0.3608,177713.1902
ga,15,73,1.0600,0.3380,177543.3262
ga,16,73,0.9905,0.3170,177387.2252
ga,17,73,0.9266,0.2975,177243.0746
ga,18,73,0.8674,0.2794,177109.4199
ga,19,73,0.8123,0.2624,176985.0671
ga,20,73,0.7609,0.2465,176869.0193
ga,21,73,0.7126,0.2316,176760.4324
ga,22,73,0.6672,0.2175,176658.5848
ga,23,73,0.6244,0.2042,176562.8535
ga,24,73,0.5840,0.1923,176472.6973
ga,25,73,0.5456,0.1810,176387.6429
ga,26,73,0.5092,0.1702,176307.2745
ga,27,73,0.4746,0.1598,176231.2246
ga,28,73,0.4417,0.1498,176159.1677
ga,29,73,0.4103,0.1402,176090.8143
ga,30,73,0.3802,0.1312,176025.9060
ga,31,73,0.3515,0.1218,175964.2117
ga,32,73,0.3240,0.1131,175905.5241
ga,33,73,0.2977,0.1046,175849.6569
ga,34,73,0.2724,0.0964,175796.4422
ga,35,73,0.2481,0.0884,175745.7287
ga,36,73,0.2247,0.0807,175697.3796
ga,37,73,0.2022,0.0731,175651.2710
ga,38,73,0.1806,0.0658,175607.2907
ga,39,73,0.1597,0.0586,175565.3369
ga,40,73,0.1395,0.0516,175525.3172
ga,41,73,0.1200,0.0447,175487.1476
ga,42,73,0.1012,0.0380,175450.7518
ga,43,73,0.0830,0.0314,175416.0605
ga,44,73,0.0654,0.0240,175383.0104
ga,45,73,0.0483,0.0176,175351.5444
ga,46,73,0.0317,0.0114,175321.6102
ga,47,73,0.0156,0.0056,175293.1606
ga,48,73,0.0000,0.0000,175266.1525
