method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,MEDIUM,hfvrp_n001_m03_s05,1,optimal,1,97.7347,97.7347,97.7347,0.0000,0.0000,0.0000,0.0000,0.2434
ga,MEDIUM,hfvrp_n002_m03_s01,2,optimal,1,379.8548,379.8548,379.8548,0.0000,0.0000,0.0000,0.0000,0.3208
ga,MEDIUM,hfvrp_n002_m03_s02,2,optimal,1,149.3690,149.3690,149.3690,0.0000,0.0000,0.0000,0.0000,0.3131
ga,MEDIUM,hfvrp_n002_m03_s03,2,optimal,1,191.6438,191.6438,191.6438,0.0000,0.0000,0.0000,0.0000,0.3224
ga,MEDIUM,hfvrp_n002_m03_s04,2,optimal,1,183.4134,183.8014,183.8014,0.3880,0.3880,0.2116,0.2116,0.3121
ga,MEDIUM,hfvrp_n002_m03_s05,2,optimal,1,297.7926,381.7497,381.7497,83.9570,83.9570,28.1931,28.1931,0.3132
ga,MEDIUM,hfvrp_n005_m03_s01,5,optimal,1,386.6674,386.6674,386.6674,0.0000,0.0000,0.0000,0.0000,0.4747
ga,MEDIUM,hfvrp_n005_m03_s02,5,optimal,1,402.6410,414.7710,414.7710,12.1299,12.1299,3.0126,3.0126,0.4696
ga,MEDIUM,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,0.4768
ga,MEDIUM,hfvrp_n005_m03_s04,5,optimal,1,350.4459,350.4459,350.4459,0.0000,0.0000,0.0000,0.0000,0.4802
ga,MEDIUM,hfvrp_n005_m03_s05,5,optimal,1,428.9074,435.6492,435.6492,6.7418,6.7418,1.5719,1.5719,0.4758
ga,MEDIUM,hfvrp_n010_m03_s01,10,optimal,1,583.3964,597.4578,597.4578,14.0614,14.0614,2.4103,2.4103,0.7395
ga,MEDIUM,hfvrp_n010_m03_s02,10,optimal,1,621.1946,663.9763,663.9763,42.7817,42.7817,6.8870,6.8870,0.7488
ga,MEDIUM,hfvrp_n010_m03_s03,10,optimal,1,725.6380,744.6904,744.6904,19.0524,19.0524,2.6256,2.6256,0.7315
ga,MEDIUM,hfvrp_n010_m03_s04,10,optimal,1,655.7316,694.2957,694.2957,38.5641,38.5641,5.8811,5.8811,0.7299
ga,MEDIUM,hfvrp_n010_m03_s05,10,optimal,1,645.7612,715.8126,715.8126,70.0514,70.0514,10.8479,10.8479,0.7418
ga,MEDIUM,hfvrp_n015_m03_s01,15,optimal,1,896.1105,1144.7638,1140.4078,248.6534,244.2973,27.7481,27.2620,0.9855
ga,MEDIUM,hfvrp_n015_m03_s02,15,optimal,1,889.5634,1073.0947,1073.0947,183.5314,183.5314,20.6316,20.6316,0.9921
ga,MEDIUM,hfvrp_n015_m03_s03,15,optimal,1,663.0746,750.8805,746.0206,87.8059,82.9460,13.2422,12.5093,0.9862
ga,MEDIUM,hfvrp_n015_m03_s04,15,time_limit,0,1164.8686,1695.4604,1695.4604,530.5918,530.5918,45.5495,45.5495,0.9868
ga,MEDIUM,hfvrp_n015_m03_s05,15,optimal,1,817.5518,924.0072,924.0072,106.4553,106.4553,13.0212,13.0212,0.9833
ga,MEDIUM,hfvrp_n020_m04_s01,20,time_limit,0,979.1195,1094.0171,1030.4332,114.8976,51.3138,11.7348,5.2408,1.3017
ga,MEDIUM,hfvrp_n020_m04_s02,20,time_limit,0,984.3551,1079.9691,1079.9691,95.6141,95.6141,9.7134,9.7134,1.3109
ga,MEDIUM,hfvrp_n020_m04_s03,20,time_limit,0,1158.4094,1394.0790,1386.3023,235.6695,227.8928,20.3442,19.6729,1.2977
ga,MEDIUM,hfvrp_n020_m04_s04,20,time_limit,0,1118.1304,1379.8249,1327.5882,261.6945,209.4578,23.4046,18.7329,1.2962
ga,MEDIUM,hfvrp_n020_m04_s05,20,time_limit,0,1104.1577,1278.0756,1259.1956,173.9179,155.0379,15.7512,14.0413,1.2943
ga,MEDIUM,hfvrp_n030_m06_s01,30,mem_limit,0,2028.9442,2200.8192,2163.5458,171.8750,134.6017,8.4712,6.6341,1.9915
