variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,470,9,251,-11.9151,-3.8865
BIG,MEDIUM,730,294,132,304,-1.4257,0.0000
BIG,SMALL,730,491,6,233,-19.1755,-9.0422
DEFAULT,BIG,730,9,470,251,17.4773,4.0438
DEFAULT,MEDIUM,730,21,457,252,15.3005,2.7830
DEFAULT,SMALL,730,450,37,243,-9.6293,-3.9510
MEDIUM,BIG,730,132,294,304,1.6489,0.0000
MEDIUM,DEFAULT,730,457,21,252,-10.7965,-2.7076
MEDIUM,SMALL,730,492,4,234,-18.2975,-7.1872
SMALL,BIG,730,6,491,233,34.9753,9.9411
SMALL,DEFAULT,730,37,450,243,12.7095,4.1135
SMALL,MEDIUM,730,4,492,234,32.1292,7.7438
