method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,129.7854,22.8744,0.0000,0.0000,0.0007,0.0001
exact,2,6,216.4526,94.7613,0.0000,0.0000,0.0055,0.0007
exact,3,2,147.6495,19.3505,0.0000,0.0000,0.0031,0.0025
exact,5,5,402.6793,32.9888,0.0000,0.0000,0.0509,0.0169
exact,10,5,646.3444,46.8421,0.0000,0.0000,10.0971,6.5099
exact,15,5,886.2338,162.6427,0.0000,0.0000,5503.9563,6570.0283
exact,20,5,1068.8344,73.3308,0.0000,0.0000,18000.0034,0.0017
exact,30,5,1765.0515,133.9735,0.0000,0.0000,12449.5911,4607.7400
exact,31,1,6764.4224,0.0000,0.0000,0.0000,13963.1884,0.0000
exact,36,1,6225.2615,0.0000,0.0000,0.0000,18000.0050,0.0000
exact,44,1,10679.9367,0.0000,0.0000,0.0000,13327.9022,0.0000
exact,50,5,3971.9607,453.2194,0.0000,0.0000,13596.8170,2452.6953
exact,53,1,12760.8000,0.0000,0.0000,0.0000,18000.0277,0.0000
exact,59,1,15088.8010,0.0000,0.0000,0.0000,18000.0497,0.0000
exact,75,4,7723.7445,948.4136,0.0000,0.0000,16634.1015,1497.9945
exact,79,1,20194.6107,0.0000,0.0000,0.0000,18000.0478,0.0000
exact,100,3,12435.4922,691.5315,0.0000,0.0000,18000.1337,0.0072
ga,1,240,129.7854,22.8744,0.0000,0.0000,0.2474,0.2950
ga,2,288,230.5101,110.5848,4.7341,10.4915,0.3183,0.3799
ga,3,96,147.6495,19.3505,0.0000,0.0000,0.3938,0.4695
ga,5,240,406.4845,34.4253,0.9241,1.2208,0.4842,0.5786
ga,10,240,694.9586,69.4432,7.5512,8.1236,0.7515,0.8991
ga,15,240,1131.4324,317.8945,25.6755,12.3729,1.0019,1.1971
ga,20,240,1270.1750,151.7639,18.5118,7.8091,1.3214,1.5810
ga,30,240,2089.0015,254.8135,18.4688,12.7700,2.0084,2.4058
ga,31,48,8734.9922,78.0648,29.1314,1.1540,2.1277,2.5553
ga,36,48,8557.7081,132.6636,37.4674,2.1311,2.5079,3.0199
ga,44,48,11980.6238,214.2985,12.1788,2.0066,3.1062,3.7355
ga,50,240,4987.1525,852.9127,26.5293,22.5825,3.4776,4.1752
ga,53,48,13422.0080,269.2191,5.1816,2.1097,3.8031,4.5800
ga,59,48,16882.8905,299.3075,11.8902,1.9836,4.3593,5.2252
ga,75,240,8505.6149,2165.1620,9.1328,27.9360,5.6755,6.8221
ga,79,48,19471.1468,438.9147,-3.5825,2.1734,5.9261,7.1205
ga,100,288,708371.6190,1560392.6471,12.3205,32.6473,7.9931,9.5898
ga,105,48,4216557.9216,466571.4541,,,8.1075,9.7492
ga,109,48,2520846.2693,469511.9027,,,8.5227,10.2441
ga,114,4,2316586.1507,37844.5471,,,24.1196,8.3773
ga,119,48,3431215.4706,313001.9400,,,8.5540,10.2168
ga,150,240,27400.0327,9076.8747,,,14.5432,17.4441
ga,200,240,45739.5173,16326.7515,,,26.5985,31.8771
savings,1,5,129.7854,22.8744,0.0000,0.0000,0.0000,0.0000
savings,2,6,230.5101,110.5848,4.7341,10.4915,0.0000,0.0000
savings,3,2,147.6495,19.3505,0.0000,0.0000,0.0000,0.0000
savings,5,5,432.5293,37.6474,7.4961,5.0908,0.0000,0.0000
savings,10,5,707.6383,48.4553,9.7558,7.4153,0.0000,0.0000
savings,15,5,1210.9583,389.8294,33.6414,19.0361,0.0001,0.0000
savings,20,5,1465.9477,250.0055,36.1894,14.5542,0.0001,0.0000
savings,30,5,2127.7315,173.4383,20.5740,4.6582,0.0003,0.0002
savings,31,1,8693.1500,0.0000,28.5128,0.0000,0.0002,0.0000
savings,36,1,8352.3226,0.0000,34.1682,0.0000,0.0001,0.0000
savings,44,1,11620.9706,0.0000,8.8112,0.0000,0.0002,0.0000
savings,50,5,5377.8737,339.9401,37.1011,17.4547,0.0014,0.0007
