variant,runs,instances_covered,cost_mean,cost_std,runtime_mean,runtime_std
BIG,879,74,189203.4027,756338.5942,15.4038,20.7358
DEFAULT,876,73,213208.0619,860038.9559,0.2554,0.3459
MEDIUM,877,74,186906.5149,758646.6914,5.0817,6.8708
SMALL,876,73,240198.6029,961204.7760,0.0350,0.0464
